household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
100016,24,63,74.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
1662857,27,63,74.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
100019,30,55,58.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100029,43,51,54.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100037,45,56,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100044,51,48,59.0,45-49,50-59,0,9.0,126448.0,7.117550297355435e-05,0.000142861577032545,False
100050,62,51,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
620997,63,51,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100063,82,55,57.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100109,121,56,45.0,50+,45-49,0,2.0,31920.0,6.265664160401002e-05,6.239359561112277e-06,False
100154,147,51,57.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100185,185,45,54.0,45-49,50-59,0,9.0,126448.0,7.117550297355435e-05,0.000142861577032545,False
100203,199,55,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
621150,200,55,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
1142097,201,55,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100219,216,94,75.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
100236,224,50,54.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100279,279,36,37.0,35-39,35-39,0,1311.0,77504.0,0.016915255986787777,0.017954713578626585,False
621226,280,36,37.0,35-39,35-39,0,1311.0,77504.0,0.016915255986787777,0.017954713578626585,False
1142173,281,36,37.0,35-39,35-39,0,1311.0,77504.0,0.016915255986787777,0.017954713578626585,False
100282,286,44,46.0,40-44,45-49,0,205.0,108528.0,0.0018889134601208905,0.002681412735206321,False
621229,287,44,46.0,40-44,45-49,0,205.0,108528.0,0.0018889134601208905,0.002681412735206321,False
100296,308,60,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
621243,309,60,56.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
