hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
100004,1.48292380449716,50,2,2,1,1,5,230,3,1,1,1
100010,0.596810691555734,8,2,1,5,2,1,230,2,1,1,2
100021,0.577779643838785,68,2,2,4,1,6,210,2,1,1,2
100028,0.735754391690886,61,2,2,1,1,5,210,2,2,2,1
100037,1.76919865974747,30,2,2,2,2,4,220,4,1,1,2
100049,1.49045219221012,11,1,1,5,2,1,230,4,1,1,2
100053,0.420776265657519,77,2,2,4,1,6,210,2,1,1,2
100060,0.877325774258541,57,2,1,4,1,5,10,1,0,0,1
100067,0.956284908098407,59,2,2,2,1,5,210,2,0,0,2
100072,0.566255156745653,34,1,2,1,1,4,210,2,3,3,1
100073,2.32634614525384,21,2,1,2,1,3,230,2,2,2,2
100074,2.78627882236527,45,2,1,1,1,5,30,3,3,3,3
100085,2.34075283837609,49,1,2,1,1,5,220,4,1,1,1
100095,0.531820725543533,60,1,2,1,1,5,210,2,3,3,1
100107,1.00255905956941,32,2,2,1,2,4,210,2,1,1,2
100108,0.817649279118855,10,2,1,5,2,1,220,5,1,1,5
100116,1.56263505210825,23,1,1,2,1,3,220,4,3,3,3
100127,2.0838170635873,31,1,2,1,1,4,220,3,1,1,1
100141,0.36500654450406,7,2,1,5,2,1,220,4,1,1,4
100147,0.385773235566933,8,1,1,5,2,1,220,4,2,2,4
100160,0.870387462397418,82,2,2,4,1,6,210,2,1,1,2
100167,0.78964437888525,45,2,4,1,1,5,230,4,2,2,1
100171,1.34623732168179,10,1,1,5,2,1,220,3,1,1,3
100175,0.660857953501762,73,1,2,4,1,6,210,2,1,1,1
100185,0.246897817584284,9,2,1,5,2,1,220,5,1,1,3
100186,1.02179841197172,24,1,1,1,1,4,30,4,0,0,2
100190,0.772983652216616,60,1,2,1,1,5,210,2,1,1,1
100191,1.9256821969655,32,2,2,2,1,4,220,5,2,2,1
100197,0.718929139905555,7,1,1,5,2,1,220,5,2,2,5
100200,1.91190498211857,42,2,4,1,1,4,230,3,1,1,1
100207,0.520799808026875,77,1,2,4,1,6,210,2,1,1,1
100213,2.15123833585302,81,2,3,4,2,6,10,1,0,0,1
100216,0.573287056120962,39,1,2,1,1,4,220,5,2,2,1
100220,0.331024345901465,79,1,2,4,1,6,210,2,1,1,1
100222,0.694747062824067,58,2,2,2,1,5,220,4,1,1,2
100226,0.950682223265116,7,1,1,5,2,1,220,5,2,2,3
100231,0.555582800684984,12,1,1,5,2,1,220,3,1,1,3
100239,1.18640245681753,46,1,2,1,1,5,220,6,1,1,1
100244,0.452727363351761,49,2,2,2,1,5,220,4,2,2,1
100248,0.441949513436774,17,2,1,1,2,2,230,2,1,1,2
100268,0.266305176157961,11,1,1,5,2,1,220,4,1,1,4
100269,1.31466580635694,54,1,2,1,1,5,220,4,2,2,1
100275,0.607069025712527,47,2,2,1,1,5,220,4,2,2,1
100277,1.92717434518798,81,2,2,4,1,6,210,2,1,1,1
100285,0.418645622702813,46,2,2,1,2,5,220,3,1,1,2
100288,1.08714443874436,43,1,2,1,1,4,220,7,2,2,1
100290,0.974158737734029,50,1,1,1,1,5,10,1,1,1,1
100294,0.436011423647652,11,1,1,5,2,1,220,5,1,1,4
100299,0.330363191718892,75,2,2,4,1,6,210,2,1,1,2
100307,0.683037113558726,43,1,1,1,1,4,210,2,0,0,2
100310,0.295817835852829,46,1,2,1,1,5,220,4,2,2,1
100312,0.563603241844675,12,1,1,5,2,1,220,4,3,3,3
100325,0.63129897970454,45,2,2,1,1,5,220,3,1,1,2
100327,0.455980895658505,54,2,2,1,1,5,210,2,2,2,2
100343,0.311735252463741,60,1,2,1,1,5,220,4,1,1,1
100345,1.07966779669064,48,1,2,1,1,5,220,6,3,3,1
100357,1.28835620272078,11,2,1,5,2,1,220,4,2,2,4
100361,1.12224588738109,84,2,3,4,2,6,10,1,0,0,1
100377,0.545209706707634,46,1,4,2,1,5,10,1,0,0,1
100378,0.625308000097303,35,2,1,1,1,4,10,1,1,1,1
100391,3.8855662912801,76,2,2,4,1,6,210,2,1,1,2
100395,0.578549876943753,57,2,4,1,1,5,230,2,1,1,1
100404,0.590609836910773,58,2,2,2,1,5,220,3,1,1,2
100418,0.652639295164897,32,1,2,1,1,4,220,3,0,0,1
100421,0.711067961085173,54,1,2,1,1,5,210,2,1,1,1
100423,1.76147001654726,42,1,2,1,1,4,220,5,2,2,1
100430,0.466020849025763,50,1,2,1,1,5,220,4,1,1,1
100434,1.65147201220392,86,1,1,4,2,6,10,1,0,0,1
100444,0.406706828109954,36,2,2,2,1,4,220,6,1,1,2
100457,0.843039535437965,63,1,2,1,1,5,210,2,0,0,2
100462,1.3139072168411,62,1,2,4,1,5,30,6,1,1,1
100466,0.694174172202394,77,1,2,4,1,6,210,2,1,1,1
100467,1.23603835379403,82,2,3,4,2,6,10,1,0,0,1
100469,2.07474839144268,48,1,4,1,1,5,210,2,1,1,1
100497,0.269892451990751,67,2,1,4,1,6,10,1,1,1,1
100512,0.749892388004943,34,2,2,1,1,4,210,2,1,1,1
100517,0.303932496050313,10,2,1,5,2,1,220,3,2,2,3
100520,0.840046468636061,71,2,3,4,2,6,10,1,0,0,1
100522,0.9196289758704,44,2,1,1,1,5,10,1,1,1,1
100540,0.445547023784162,10,1,1,5,2,1,220,4,2,2,4
100552,1.13094882886526,63,1,2,1,1,5,210,2,1,1,2
100557,0.635853039844379,30,1,1,1,1,4,10,1,1,1,1
100568,1.49967827021563,38,1,1,1,1,4,10,1,0,0,1
100585,0.800799507894159,76,1,2,4,1,6,210,2,1,1,1
100592,1.00006255590158,26,2,1,2,1,4,220,3,2,2,3
100593,0.591696489036386,65,2,2,4,1,6,210,2,1,1,1
100600,0.716222470420859,54,1,2,1,1,5,220,3,1,1,2
100604,0.779338864163307,49,2,2,1,1,5,210,2,2,2,2
100607,0.556192765877008,16,2,1,3,2,2,220,5,2,2,3
100612,0.451277232277579,40,2,1,1,1,4,10,1,1,1,1
100615,0.737828621148956,26,1,1,1,1,4,220,3,3,3,3
100617,0.407222788658454,30,1,2,1,1,4,210,2,2,2,1
100618,0.773952663744338,50,1,2,1,1,5,220,6,3,3,1
100621,1.45562260048432,67,1,2,4,1,6,210,2,2,2,1
100626,0.634352184087615,61,1,4,1,1,5,230,2,2,2,1
100630,1.126208848674,80,2,3,4,1,6,10,1,1,1,1
100634,0.94184537271949,50,1,2,1,1,5,220,4,2,2,1
100635,0.552800455707332,7,1,1,5,2,1,220,3,1,1,3
100640,1.40907484927512,55,2,1,1,1,5,210,2,2,2,1
100653,0.628599671743574,26,1,2,1,1,4,220,3,2,2,1
100656,0.623981324470936,50,2,4,1,1,5,230,3,1,1,1
100657,1.40982795780608,74,1,2,4,2,6,210,2,0,0,1
100666,0.85301337697081,69,2,3,4,1,6,10,1,2,2,1
100670,1.18977544836433,22,2,1,1,1,3,230,3,1,1,3
100673,0.864083049854266,46,1,2,1,1,5,220,3,2,2,1
100682,0.62990102915603,80,1,2,4,1,6,210,2,1,1,1
