hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
430367,1.1976162086,52,1,2,1,1,5,220,4,1,1,1
430368,0.6350010949,59,1,2,1,1,5,10,1,2,2,1
430376,0.8865594321,45,1,2,1,1,5,220,4,1,1,1
430379,1.2419633971,55,2,4,1,1,5,230,2,1,1,1
430382,0.5182027853,58,1,2,1,1,5,220,4,2,2,3
430383,0.7832660627,12,2,1,5,2,1,220,7,1,1,3
430384,0.9941577502,68,2,2,4,2,6,220,3,1,1,1
430387,0.4523066728,33,2,4,1,1,4,210,2,2,2,2
430391,0.7304574635,40,1,2,1,1,4,220,4,2,2,1
430396,0.601854751,35,1,1,1,1,4,210,2,2,2,1
430399,0.4439009161,80,2,2,4,2,6,210,2,1,1,2
430402,0.301780569,7,1,1,5,2,1,220,5,2,2,5
430414,0.9007920678,9,2,1,5,2,1,230,3,1,1,3
430416,0.2888438401,91,2,2,4,2,6,210,2,0,0,1
430417,1.0327047862,81,2,3,4,1,6,10,1,1,1,1
430422,1.1663821049,46,2,2,1,1,5,30,5,2,2,3
430423,0.6000885125,72,1,2,4,2,6,210,2,0,0,2
430431,0.9629850026,46,2,2,1,1,5,220,3,1,1,1
430436,0.4744316517,72,2,2,4,1,6,210,2,1,1,2
430437,1.4037864991,37,1,2,1,1,4,220,4,2,2,2
430443,3.1322652706,21,2,1,3,1,3,220,7,1,1,4
430451,0.825521365,52,1,2,1,1,5,220,5,3,3,1
430455,1.3378794452,50,2,2,1,1,5,220,3,2,2,2
430461,0.6613076989,35,2,2,1,2,4,220,4,1,1,1
430462,0.4489628404,77,1,2,1,1,6,210,2,2,2,2
430463,0.3555196168,66,2,2,4,1,6,210,2,2,2,2
430466,0.6589426816,7,2,1,5,2,1,220,5,2,2,5
430468,1.7320641072,74,1,2,4,1,6,210,2,1,1,1
430469,1.9004260349,34,1,2,1,1,4,210,2,1,1,1
430471,0.5760329451,56,2,2,1,1,5,210,2,2,2,1
430473,0.7447343413,24,2,2,2,2,4,220,3,1,1,2
430477,2.3931914695,44,1,2,1,1,5,220,5,3,3,1
430479,1.0194839591,79,2,2,4,1,6,210,2,2,2,2
430482,0.482799432,72,1,2,4,1,6,210,2,1,1,1
430486,1.0339125645,84,1,4,4,1,6,210,2,2,2,1
430489,0.3106756237,58,2,2,1,1,5,210,2,3,3,2
430496,0.8130871359,12,2,1,5,2,1,230,3,0,0,2
430497,2.0930593211,36,1,2,1,2,4,220,4,0,0,1
430499,2.4823602988,53,2,2,1,1,5,30,6,3,3,2
430503,0.5827564665,8,2,1,5,2,1,220,4,1,1,3
430508,1.8677907519,46,2,2,2,1,5,220,4,2,2,2
430509,0.8118361913,67,2,1,4,1,6,30,2,1,1,2
430511,0.5369477032,58,1,1,4,1,5,10,1,1,1,1
