household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620963,25,66,77.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
100019,30,58,61.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
620966,31,58,61.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
100044,51,51,62.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
620997,63,54,55.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100068,86,57,52.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100099,110,57,52.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100109,121,59,48.0,50+,45-49,0,2.0,27930.0,7.160759040458288e-05,7.13286950550701e-06,False
100185,185,48,57.0,45-49,50-59,0,9.0,110642.0,8.134343196977639e-05,0.00016320338866534028,False
100236,224,53,57.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100279,279,39,40.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
621226,280,39,40.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
1142173,281,39,40.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
100282,286,47,49.0,45-49,45-49,0,14.0,112210.0,0.00012476606363069246,0.00021515787979065317,False
621229,287,47,49.0,45-49,45-49,0,14.0,112210.0,0.00012476606363069246,0.00021515787979065317,False
1142176,288,47,49.0,45-49,45-49,0,14.0,112210.0,0.00012476606363069246,0.00021515787979065317,False
100296,308,63,59.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
621243,309,63,59.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
621357,352,71,71.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
100426,367,57,72.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
100442,392,53,54.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
621389,393,53,54.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
1142336,394,53,54.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100446,411,38,40.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
100452,416,39,42.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
1663293,419,39,42.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
100453,422,50,56.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100454,429,44,52.0,40-44,50-59,0,58.0,41258.0,0.0014057879683940084,0.0023257852645493238,False
100504,458,58,64.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
621451,459,58,64.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
621476,482,37,39.0,35-39,35-39,0,1311.0,67816.0,0.01933172112775746,0.020520487524366148,False
100537,491,85,87.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
100549,509,60,61.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
100581,526,62,62.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
100609,546,39,41.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
621556,547,39,41.0,35-39,40-44,0,850.0,79968.0,0.010629251700680272,0.012676203559429585,False
1142510,553,55,63.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
100630,568,72,73.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
621584,576,47,48.0,45-49,45-49,0,14.0,112210.0,0.00012476606363069246,0.00021515787979065317,False
1142536,588,52,52.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100664,610,57,68.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
621611,611,57,68.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
100695,632,62,71.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
100735,649,54,60.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
621769,699,71,77.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
621859,780,45,64.0,45-49,60-69,0,1.0,9996.0,0.00010004001600640257,0.00014508693883472996,False
100926,787,53,56.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
100990,826,68,79.0,50+,70+,0,0.0,68796.0,0.0,3.994711595758545e-07,False
101036,848,50,56.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
621983,849,50,56.0,50+,50-59,0,0.0,205898.0,0.0,5.41021314242519e-06,False
101083,881,62,67.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
622047,894,57,67.0,50+,60-69,0,0.0,120834.0,0.0,4.809566263150985e-06,False
