year;age_m;age_w;count
2007;20 ;72 ;0
2007;20 ;73 ;0
2007;20 ;74 ;0
2007;20 ;75 ;0
2007;20 ;76 ;0
2007;20 ;77 ;0
2007;20 ;78 ;0
2007;20 ;79 ;0
2007;20 ;80 ;0
2007;20 ;81 ;0
2007;20 ;82 ;0
2007;20 ;83 ;0
2007;20 ;84 ;0
2007;20 ;85 ;0
2007;20 ;86 ;0
2007;20 ;87 ;0
2007;20 ;88 ;0
2007;20 ;89 ;0
2007;20 ;90 ;0
2007;20 ;91 ;0
2007;20 ;92 ;0
2007;20 ;93 ;0
2007;20 ;94 ;0
2007;20 ;95 ;0
2007;20 ;99 ;0
2007;20 ;100;0
2007;21 ;18 ;20
2007;21 ;19 ;73
2007;21 ;20 ;64
2007;21 ;21 ;81
2007;21 ;22 ;39
2007;21 ;23 ;27
2007;21 ;24 ;14
2007;21 ;25 ;13
2007;21 ;26 ;10
2007;21 ;27 ;8
2007;21 ;28 ;5
2007;21 ;29 ;3
2007;21 ;30 ;4
2007;21 ;31 ;2
2007;21 ;32 ;3
2007;21 ;33 ;1
2007;21 ;34 ;5
2007;21 ;35 ;1
2007;21 ;36 ;2
2007;21 ;37 ;1
2007;21 ;38 ;0
2007;21 ;39 ;0
2007;21 ;40 ;1
2007;21 ;41 ;1
2007;21 ;42 ;0
2007;21 ;43 ;1
2007;21 ;44 ;0
2007;21 ;45 ;0
2007;21 ;46 ;0
2007;21 ;47 ;0
2007;21 ;48 ;0
2007;21 ;49 ;0
2007;21 ;50 ;0
2007;21 ;51 ;0
2007;21 ;52 ;0
2007;21 ;53 ;0
2007;21 ;54 ;0
2007;21 ;55 ;0
2007;21 ;56 ;0
2007;21 ;57 ;0
2007;21 ;58 ;0
2007;21 ;59 ;0
2007;21 ;60 ;0
2007;21 ;61 ;0
2007;21 ;62 ;0
2007;21 ;63 ;0
2007;21 ;64 ;0
2007;21 ;65 ;0
2007;21 ;66 ;0
2007;21 ;67 ;0
2007;21 ;68 ;0
2007;21 ;69 ;0
2007;21 ;70 ;0
2007;21 ;71 ;0
2007;21 ;72 ;0
2007;21 ;73 ;0
2007;21 ;74 ;0
2007;21 ;75 ;0
2007;21 ;76 ;0
2007;21 ;77 ;0
2007;21 ;78 ;0
2007;21 ;79 ;0
2007;21 ;80 ;0
2007;21 ;81 ;0
2007;21 ;82 ;0
2007;21 ;83 ;0
2007;21 ;84 ;0
2007;21 ;85 ;0
2007;21 ;86 ;0
2007;21 ;87 ;0
2007;21 ;88 ;0
2007;21 ;89 ;0
2007;21 ;90 ;0
2007;21 ;91 ;0
2007;21 ;92 ;0
2007;21 ;93 ;0
2007;21 ;94 ;0
2007;21 ;95 ;0
2007;21 ;99 ;0
2007;21 ;100;0
2007;22 ;18 ;29
2007;22 ;19 ;48
2007;22 ;20 ;71
2007;22 ;21 ;109
2007;22 ;22 ;89
2007;22 ;23 ;50
2007;22 ;24 ;50
2007;22 ;25 ;28
2007;22 ;26 ;19
2007;22 ;27 ;13
2007;22 ;28 ;10
2007;22 ;29 ;2
2007;22 ;30 ;9
2007;22 ;31 ;3
2007;22 ;32 ;2
2007;22 ;33 ;3
2007;22 ;34 ;1
2007;22 ;35 ;3
2007;22 ;36 ;2
2007;22 ;37 ;0
2007;22 ;38 ;3
2007;22 ;39 ;0
2007;22 ;40 ;1
2007;22 ;41 ;1
2007;22 ;42 ;0
2007;22 ;43 ;2
2007;22 ;44 ;0
2007;22 ;45 ;0
2007;22 ;46 ;0
2007;22 ;47 ;1
2007;22 ;48 ;0
2007;22 ;49 ;0
2007;22 ;50 ;2
2007;22 ;51 ;0
2007;22 ;52 ;0
2007;22 ;53 ;0
2007;22 ;54 ;0
2007;22 ;55 ;0
2007;22 ;56 ;0
2007;22 ;57 ;0
2007;22 ;58 ;0
2007;22 ;59 ;0
2007;22 ;60 ;0
2007;22 ;61 ;0
2007;22 ;62 ;0
2007;22 ;63 ;0
2007;22 ;64 ;0
2007;22 ;65 ;0
2007;22 ;66 ;0
2007;22 ;67 ;0
2007;22 ;68 ;0
2007;22 ;69 ;0
2007;22 ;70 ;0
2007;22 ;71 ;0
2007;22 ;72 ;0
2007;22 ;73 ;0
2007;22 ;74 ;0
2007;22 ;75 ;0
2007;22 ;76 ;0
2007;22 ;77 ;0
2007;22 ;78 ;0
2007;22 ;79 ;0
2007;22 ;80 ;0
2007;22 ;81 ;0
2007;22 ;82 ;0
2007;22 ;83 ;0
2007;22 ;84 ;0
2007;22 ;85 ;0
2007;22 ;86 ;0
2007;22 ;87 ;0
2007;22 ;88 ;0
2007;22 ;89 ;0
2007;22 ;90 ;0
2007;22 ;91 ;0
2007;22 ;92 ;0
2007;22 ;93 ;0
2007;22 ;94 ;0
2007;22 ;95 ;0
2007;22 ;99 ;0
2007;22 ;100;0
2007;23 ;18 ;26
2007;23 ;19 ;61
2007;23 ;20 ;89
2007;23 ;21 ;104
2007;23 ;22 ;124
2007;23 ;23 ;127
2007;23 ;24 ;70
2007;23 ;25 ;31
2007;23 ;26 ;37
2007;23 ;27 ;24
2007;23 ;28 ;19
2007;23 ;29 ;17
2007;23 ;30 ;15
2007;23 ;31 ;13
2007;23 ;32 ;4
2007;23 ;33 ;7
2007;23 ;34 ;7
2007;23 ;35 ;4
2007;23 ;36 ;2
2007;23 ;37 ;5
2007;23 ;38 ;1
2007;23 ;39 ;0
2007;23 ;40 ;3
2007;23 ;41 ;2
2007;23 ;42 ;3
2007;23 ;43 ;2
2007;23 ;44 ;1
2007;23 ;45 ;3
2007;23 ;46 ;0
2007;23 ;47 ;1
2007;23 ;48 ;1
2007;23 ;49 ;0
2007;23 ;50 ;1
2007;23 ;51 ;0
2007;23 ;52 ;0
2007;23 ;53 ;0
2007;23 ;54 ;1
2007;23 ;55 ;0
2007;23 ;56 ;0
2007;23 ;57 ;1
2007;23 ;58 ;0
2007;23 ;59 ;0
2007;23 ;60 ;0
2007;23 ;61 ;0
2007;23 ;62 ;1
2007;23 ;63 ;0
2007;23 ;64 ;0
2007;23 ;65 ;0
2007;23 ;66 ;0
2007;23 ;67 ;0
2007;23 ;68 ;0
2007;23 ;69 ;0
2007;23 ;70 ;0
2007;23 ;71 ;0
2007;23 ;72 ;0
2007;23 ;73 ;0
2007;23 ;74 ;0
2007;23 ;75 ;0
2007;23 ;76 ;0
2007;23 ;77 ;0
2007;23 ;78 ;0
2007;23 ;79 ;0
2007;23 ;80 ;0
2007;23 ;81 ;0
2007;23 ;82 ;0
2007;23 ;83 ;0
2007;23 ;84 ;0
2007;23 ;85 ;0
2007;23 ;86 ;0
2007;23 ;87 ;0
2007;23 ;88 ;0
2007;23 ;89 ;0
2007;23 ;90 ;0
2007;23 ;91 ;0
2007;23 ;92 ;0
2007;23 ;93 ;0
2007;23 ;94 ;0
2007;23 ;95 ;0
2007;23 ;99 ;0
2007;23 ;100;0
2007;24 ;18 ;26
2007;24 ;19 ;51
2007;24 ;20 ;74
2007;24 ;21 ;109
2007;24 ;22 ;135
2007;24 ;23 ;160
2007;24 ;24 ;137
2007;24 ;25 ;87
2007;24 ;26 ;67
2007;24 ;27 ;40
2007;24 ;28 ;37
2007;24 ;29 ;19
2007;24 ;30 ;16
2007;24 ;31 ;11
2007;24 ;32 ;16
2007;24 ;33 ;5
2007;24 ;34 ;6
2007;24 ;35 ;6
2007;24 ;36 ;5
2007;24 ;37 ;2
2007;24 ;38 ;3
2007;24 ;39 ;4
2007;24 ;40 ;1
2007;24 ;41 ;4
2007;24 ;42 ;2
2007;24 ;43 ;1
2007;24 ;44 ;3
2007;24 ;45 ;2
2007;24 ;46 ;1
2007;24 ;47 ;0
2007;24 ;48 ;2
2007;24 ;49 ;2
2007;24 ;50 ;0
2007;24 ;51 ;1
2007;24 ;52 ;1
2007;24 ;53 ;0
2007;24 ;54 ;2
2007;24 ;55 ;0
2007;24 ;56 ;1
2007;24 ;57 ;0
2007;24 ;58 ;0
2007;24 ;59 ;0
2007;24 ;60 ;0
2007;24 ;61 ;0
2007;24 ;62 ;0
2007;24 ;63 ;0
2007;24 ;64 ;0
2007;24 ;65 ;0
2007;24 ;66 ;0
2007;24 ;67 ;0
2007;24 ;68 ;0
2007;24 ;69 ;0
2007;24 ;70 ;0
2007;24 ;71 ;0
2007;24 ;72 ;0
2007;24 ;73 ;0
2007;24 ;74 ;0
2007;24 ;75 ;0
2007;24 ;76 ;0
2007;24 ;77 ;0
2007;24 ;78 ;0
2007;24 ;79 ;0
2007;24 ;80 ;0
2007;24 ;81 ;0
2007;24 ;82 ;0
2007;24 ;83 ;0
2007;24 ;84 ;0
2007;24 ;85 ;0
2007;24 ;86 ;0
2007;24 ;87 ;0
2007;24 ;88 ;0
2007;24 ;89 ;0
2007;24 ;90 ;0
2007;24 ;91 ;0
2007;24 ;92 ;0
2007;24 ;93 ;0
2007;24 ;94 ;0
2007;24 ;95 ;0
2007;24 ;99 ;0
2007;24 ;100;0
2007;25 ;18 ;7
2007;25 ;19 ;41
2007;25 ;20 ;58
2007;25 ;21 ;83
2007;25 ;22 ;107
2007;25 ;23 ;134
2007;25 ;24 ;146
2007;25 ;25 ;170
2007;25 ;26 ;117
2007;25 ;27 ;72
2007;25 ;28 ;52
2007;25 ;29 ;37
2007;25 ;30 ;21
2007;25 ;31 ;26
2007;25 ;32 ;21
2007;25 ;33 ;7
2007;25 ;34 ;18
2007;25 ;35 ;9
2007;25 ;36 ;8
2007;25 ;37 ;4
2007;25 ;38 ;3
2007;25 ;39 ;1
2007;25 ;40 ;4
2007;25 ;41 ;2
2007;25 ;42 ;2
2007;25 ;43 ;4
2007;25 ;44 ;2
2007;25 ;45 ;4
2007;25 ;46 ;2
2007;25 ;47 ;2
2007;25 ;48 ;2
2007;25 ;49 ;2
2007;25 ;50 ;1
2007;25 ;51 ;2
2007;25 ;52 ;3
2007;25 ;53 ;1
2007;25 ;54 ;1
2007;25 ;55 ;0
2007;25 ;56 ;0
2007;25 ;57 ;1
2007;25 ;58 ;0
2007;25 ;59 ;0
2007;25 ;60 ;0
