year;age_group_m;age_group_w;duration;divorces
2000;30-39 years;90 years or more;10-14 years;0
2000;30-39 years;90 years or more;15-19 years;0
2000;30-39 years;90 years or more;20 years or more;0
2000;40-49 years;Less than 20 years;0-4 years;0
2000;40-49 years;Less than 20 years;5-9 years;0
2000;40-49 years;Less than 20 years;10-14 years;0
2000;40-49 years;Less than 20 years;15-19 years;0
2000;40-49 years;Less than 20 years;20 years or more;0
2000;40-49 years;20-29 years;0-4 years;48
2000;40-49 years;20-29 years;5-9 years;62
2000;40-49 years;20-29 years;10-14 years;2
2000;40-49 years;20-29 years;15-19 years;0
2000;40-49 years;20-29 years;20 years or more;0
2000;40-49 years;30-39 years;0-4 years;101
2000;40-49 years;30-39 years;5-9 years;415
2000;40-49 years;30-39 years;10-14 years;445
2000;40-49 years;30-39 years;15-19 years;253
2000;40-49 years;30-39 years;20 years or more;30
2000;40-49 years;40-49 years;0-4 years;59
2000;40-49 years;40-49 years;5-9 years;212
2000;40-49 years;40-49 years;10-14 years;359
2000;40-49 years;40-49 years;15-19 years;581
2000;40-49 years;40-49 years;20 years or more;587
2000;40-49 years;50-59 years;0-4 years;11
2000;40-49 years;50-59 years;5-9 years;42
2000;40-49 years;50-59 years;10-14 years;44
2000;40-49 years;50-59 years;15-19 years;40
2000;40-49 years;50-59 years;20 years or more;74
2000;40-49 years;60-69 years;0-4 years;0
2000;40-49 years;60-69 years;5-9 years;10
2000;40-49 years;60-69 years;10-14 years;4
2000;40-49 years;60-69 years;15-19 years;1
2000;40-49 years;60-69 years;20 years or more;3
2000;40-49 years;70-79 years;0-4 years;0
2000;40-49 years;70-79 years;5-9 years;1
2000;40-49 years;70-79 years;10-14 years;1
2000;40-49 years;70-79 years;15-19 years;0
2000;40-49 years;70-79 years;20 years or more;0
2000;40-49 years;80-89 years;0-4 years;0
2000;40-49 years;80-89 years;5-9 years;0
2000;40-49 years;80-89 years;10-14 years;0
2000;40-49 years;80-89 years;15-19 years;0
2000;40-49 years;80-89 years;20 years or more;0
2000;40-49 years;90 years or more;0-4 years;0
2000;40-49 years;90 years or more;5-9 years;0
2000;40-49 years;90 years or more;10-14 years;0
2000;40-49 years;90 years or more;15-19 years;0
2000;40-49 years;90 years or more;20 years or more;0
2000;50-59 years;Less than 20 years;0-4 years;0
2000;50-59 years;Less than 20 years;5-9 years;0
2000;50-59 years;Less than 20 years;10-14 years;0
2000;50-59 years;Less than 20 years;15-19 years;0
2000;50-59 years;Less than 20 years;20 years or more;0
2000;50-59 years;20-29 years;0-4 years;11
2000;50-59 years;20-29 years;5-9 years;9
2000;50-59 years;20-29 years;10-14 years;0
2000;50-59 years;20-29 years;15-19 years;0
2000;50-59 years;20-29 years;20 years or more;0
2000;50-59 years;30-39 years;0-4 years;31
