year;age_group_m;age_group_w;duration;divorces
2005;50-59 years;40-49 years;0-4 years;52
2005;50-59 years;40-49 years;5-9 years;191
2005;50-59 years;40-49 years;10-14 years;279
2005;50-59 years;40-49 years;15-19 years;396
2005;50-59 years;40-49 years;20 years or more;961
2005;50-59 years;50-59 years;0-4 years;23
2005;50-59 years;50-59 years;5-9 years;91
2005;50-59 years;50-59 years;10-14 years;86
2005;50-59 years;50-59 years;15-19 years;177
2005;50-59 years;50-59 years;20 years or more;1629
2005;50-59 years;60-69 years;0-4 years;5
2005;50-59 years;60-69 years;5-9 years;14
2005;50-59 years;60-69 years;10-14 years;16
2005;50-59 years;60-69 years;15-19 years;22
2005;50-59 years;60-69 years;20 years or more;115
2005;50-59 years;70-79 years;0-4 years;0
2005;50-59 years;70-79 years;5-9 years;0
2005;50-59 years;70-79 years;10-14 years;3
2005;50-59 years;70-79 years;15-19 years;0
2005;50-59 years;70-79 years;20 years or more;2
2005;50-59 years;80-89 years;0-4 years;0
2005;50-59 years;80-89 years;5-9 years;0
2005;50-59 years;80-89 years;10-14 years;0
2005;50-59 years;80-89 years;15-19 years;0
2005;50-59 years;80-89 years;20 years or more;0
2005;50-59 years;90 years or more;0-4 years;0
2005;50-59 years;90 years or more;5-9 years;0
2005;50-59 years;90 years or more;10-14 years;0
2005;50-59 years;90 years or more;15-19 years;0
2005;50-59 years;90 years or more;20 years or more;0
2005;60-69 years;Less than 20 years;0-4 years;0
2005;60-69 years;Less than 20 years;5-9 years;0
2005;60-69 years;Less than 20 years;10-14 years;0
2005;60-69 years;Less than 20 years;15-19 years;0
2005;60-69 years;Less than 20 years;20 years or more;0
2005;60-69 years;20-29 years;0-4 years;8
2005;60-69 years;20-29 years;5-9 years;10
2005;60-69 years;20-29 years;10-14 years;1
2005;60-69 years;20-29 years;15-19 years;0
2005;60-69 years;20-29 years;20 years or more;0
2005;60-69 years;30-39 years;0-4 years;7
2005;60-69 years;30-39 years;5-9 years;42
2005;60-69 years;30-39 years;10-14 years;23
2005;60-69 years;30-39 years;15-19 years;2
2005;60-69 years;30-39 years;20 years or more;2
2005;60-69 years;40-49 years;0-4 years;11
2005;60-69 years;40-49 years;5-9 years;50
2005;60-69 years;40-49 years;10-14 years;53
2005;60-69 years;40-49 years;15-19 years;36
2005;60-69 years;40-49 years;20 years or more;66
2005;60-69 years;50-59 years;0-4 years;9
2005;60-69 years;50-59 years;5-9 years;44
2005;60-69 years;50-59 years;10-14 years;47
2005;60-69 years;50-59 years;15-19 years;59
2005;60-69 years;50-59 years;20 years or more;414
2005;60-69 years;60-69 years;0-4 years;3
2005;60-69 years;60-69 years;5-9 years;13
2005;60-69 years;60-69 years;10-14 years;23
2005;60-69 years;60-69 years;15-19 years;27
2005;60-69 years;60-69 years;20 years or more;432
2005;60-69 years;70-79 years;0-4 years;0
2005;60-69 years;70-79 years;5-9 years;0
2005;60-69 years;70-79 years;10-14 years;1
2005;60-69 years;70-79 years;15-19 years;0
2005;60-69 years;70-79 years;20 years or more;23
2005;60-69 years;80-89 years;0-4 years;0
2005;60-69 years;80-89 years;5-9 years;0
2005;60-69 years;80-89 years;10-14 years;0
2005;60-69 years;80-89 years;15-19 years;0
2005;60-69 years;80-89 years;20 years or more;2
2005;60-69 years;90 years or more;0-4 years;0
2005;60-69 years;90 years or more;5-9 years;0
2005;60-69 years;90 years or more;10-14 years;0
2005;60-69 years;90 years or more;15-19 years;0
2005;60-69 years;90 years or more;20 years or more;0
2005;70-79 years;Less than 20 years;0-4 years;0
2005;70-79 years;Less than 20 years;5-9 years;0
2005;70-79 years;Less than 20 years;10-14 years;0
2005;70-79 years;Less than 20 years;15-19 years;0
2005;70-79 years;Less than 20 years;20 years or more;0
2005;70-79 years;20-29 years;0-4 years;1
2005;70-79 years;20-29 years;5-9 years;2
2005;70-79 years;20-29 years;10-14 years;0
2005;70-79 years;20-29 years;15-19 years;0
2005;70-79 years;20-29 years;20 years or more;0
2005;70-79 years;30-39 years;0-4 years;2
2005;70-79 years;30-39 years;5-9 years;7
2005;70-79 years;30-39 years;10-14 years;4
2005;70-79 years;30-39 years;15-19 years;0
2005;70-79 years;30-39 years;20 years or more;0
2005;70-79 years;40-49 years;0-4 years;3
2005;70-79 years;40-49 years;5-9 years;12
2005;70-79 years;40-49 years;10-14 years;5
2005;70-79 years;40-49 years;15-19 years;2
2005;70-79 years;40-49 years;20 years or more;4
2005;70-79 years;50-59 years;0-4 years;0
2005;70-79 years;50-59 years;5-9 years;11
2005;70-79 years;50-59 years;10-14 years;10
2005;70-79 years;50-59 years;15-19 years;6
2005;70-79 years;50-59 years;20 years or more;18
2005;70-79 years;60-69 years;0-4 years;2
2005;70-79 years;60-69 years;5-9 years;7
2005;70-79 years;60-69 years;10-14 years;6
2005;70-79 years;60-69 years;15-19 years;10
2005;70-79 years;60-69 years;20 years or more;70
2005;70-79 years;70-79 years;0-4 years;0
2005;70-79 years;70-79 years;5-9 years;0
2005;70-79 years;70-79 years;10-14 years;1
2005;70-79 years;70-79 years;15-19 years;2
2005;70-79 years;70-79 years;20 years or more;59
2005;70-79 years;80-89 years;0-4 years;0
2005;70-79 years;80-89 years;5-9 years;1
2005;70-79 years;80-89 years;10-14 years;0
2005;70-79 years;80-89 years;15-19 years;0
2005;70-79 years;80-89 years;20 years or more;5
2005;70-79 years;90 years or more;0-4 years;0
2005;70-79 years;90 years or more;5-9 years;0
2005;70-79 years;90 years or more;10-14 years;0
2005;70-79 years;90 years or more;15-19 years;0
2005;70-79 years;90 years or more;20 years or more;0
2005;80-89 years;Less than 20 years;0-4 years;0
2005;80-89 years;Less than 20 years;5-9 years;0
2005;80-89 years;Less than 20 years;10-14 years;0
2005;80-89 years;Less than 20 years;15-19 years;0
2005;80-89 years;Less than 20 years;20 years or more;0
2005;80-89 years;20-29 years;0-4 years;0
2005;80-89 years;20-29 years;5-9 years;1
2005;80-89 years;20-29 years;10-14 years;0
2005;80-89 years;20-29 years;15-19 years;0
2005;80-89 years;20-29 years;20 years or more;0
2005;80-89 years;30-39 years;0-4 years;0
2005;80-89 years;30-39 years;5-9 years;0
2005;80-89 years;30-39 years;10-14 years;1
2005;80-89 years;30-39 years;15-19 years;0
2005;80-89 years;30-39 years;20 years or more;0
2005;80-89 years;40-49 years;0-4 years;1
2005;80-89 years;40-49 years;5-9 years;2
2005;80-89 years;40-49 years;10-14 years;1
2005;80-89 years;40-49 years;15-19 years;0
2005;80-89 years;40-49 years;20 years or more;0
2005;80-89 years;50-59 years;0-4 years;1
2005;80-89 years;50-59 years;5-9 years;2
2005;80-89 years;50-59 years;10-14 years;3
2005;80-89 years;50-59 years;15-19 years;0
2005;80-89 years;50-59 years;20 years or more;0
2005;80-89 years;60-69 years;0-4 years;0
2005;80-89 years;60-69 years;5-9 years;1
2005;80-89 years;60-69 years;10-14 years;0
2005;80-89 years;60-69 years;15-19 years;0
2005;80-89 years;60-69 years;20 years or more;0
2005;80-89 years;70-79 years;0-4 years;0
2005;80-89 years;70-79 years;5-9 years;0
2005;80-89 years;70-79 years;10-14 years;0
2005;80-89 years;70-79 years;15-19 years;1
2005;80-89 years;70-79 years;20 years or more;7
2005;80-89 years;80-89 years;0-4 years;1
2005;80-89 years;80-89 years;5-9 years;0
2005;80-89 years;80-89 years;10-14 years;0
2005;80-89 years;80-89 years;15-19 years;1
2005;80-89 years;80-89 years;20 years or more;5
2005;80-89 years;90 years or more;0-4 years;0
2005;80-89 years;90 years or more;5-9 years;0
2005;80-89 years;90 years or more;10-14 years;0
2005;80-89 years;90 years or more;15-19 years;0
2005;80-89 years;90 years or more;20 years or more;0
2005;90 years or more;Less than 20 years;0-4 years;0
2005;90 years or more;Less than 20 years;5-9 years;0
2005;90 years or more;Less than 20 years;10-14 years;0
2005;90 years or more;Less than 20 years;15-19 years;0
2005;90 years or more;Less than 20 years;20 years or more;0
2005;90 years or more;20-29 years;0-4 years;0
2005;90 years or more;20-29 years;5-9 years;0
2005;90 years or more;20-29 years;10-14 years;0
2005;90 years or more;20-29 years;15-19 years;0
2005;90 years or more;20-29 years;20 years or more;0
2005;90 years or more;30-39 years;0-4 years;0
2005;90 years or more;30-39 years;5-9 years;0
2005;90 years or more;30-39 years;10-14 years;0
2005;90 years or more;30-39 years;15-19 years;0
2005;90 years or more;30-39 years;20 years or more;0
2005;90 years or more;40-49 years;0-4 years;0
2005;90 years or more;40-49 years;5-9 years;0
2005;90 years or more;40-49 years;10-14 years;0
2005;90 years or more;40-49 years;15-19 years;0
2005;90 years or more;40-49 years;20 years or more;0
2005;90 years or more;50-59 years;0-4 years;0
2005;90 years or more;50-59 years;5-9 years;0
2005;90 years or more;50-59 years;10-14 years;0
2005;90 years or more;50-59 years;15-19 years;0
2005;90 years or more;50-59 years;20 years or more;0
2005;90 years or more;60-69 years;0-4 years;0
2005;90 years or more;60-69 years;5-9 years;0
2005;90 years or more;60-69 years;10-14 years;0
2005;90 years or more;60-69 years;15-19 years;0
2005;90 years or more;60-69 years;20 years or more;0
2005;90 years or more;70-79 years;0-4 years;0
2005;90 years or more;70-79 years;5-9 years;0
2005;90 years or more;70-79 years;10-14 years;0
2005;90 years or more;70-79 years;15-19 years;0
2005;90 years or more;70-79 years;20 years or more;1
2005;90 years or more;80-89 years;0-4 years;0
2005;90 years or more;80-89 years;5-9 years;0
2005;90 years or more;80-89 years;10-14 years;0
2005;90 years or more;80-89 years;15-19 years;0
2005;90 years or more;80-89 years;20 years or more;1
2005;90 years or more;90 years or more;0-4 years;0
2005;90 years or more;90 years or more;5-9 years;0
2005;90 years or more;90 years or more;10-14 years;0
2005;90 years or more;90 years or more;15-19 years;0
2005;90 years or more;90 years or more;20 years or more;0
2006;Less than 20 years;Less than 20 years;0-4 years;0
2006;Less than 20 years;Less than 20 years;5-9 years;0
2006;Less than 20 years;Less than 20 years;10-14 years;0
2006;Less than 20 years;Less than 20 years;15-19 years;0
2006;Less than 20 years;Less than 20 years;20 years or more;0
2006;Less than 20 years;20-29 years;0-4 years;0
2006;Less than 20 years;20-29 years;5-9 years;0
2006;Less than 20 years;20-29 years;10-14 years;0
2006;Less than 20 years;20-29 years;15-19 years;0
2006;Less than 20 years;20-29 years;20 years or more;0
2006;Less than 20 years;30-39 years;0-4 years;0
2006;Less than 20 years;30-39 years;5-9 years;0
2006;Less than 20 years;30-39 years;10-14 years;0
2006;Less than 20 years;30-39 years;15-19 years;0
2006;Less than 20 years;30-39 years;20 years or more;0
2006;Less than 20 years;40-49 years;0-4 years;0
2006;Less than 20 years;40-49 years;5-9 years;0
2006;Less than 20 years;40-49 years;10-14 years;0
2006;Less than 20 years;40-49 years;15-19 years;0
2006;Less than 20 years;40-49 years;20 years or more;0
2006;Less than 20 years;50-59 years;0-4 years;0
2006;Less than 20 years;50-59 years;5-9 years;0
2006;Less than 20 years;50-59 years;10-14 years;0
2006;Less than 20 years;50-59 years;15-19 years;0
2006;Less than 20 years;50-59 years;20 years or more;0
2006;Less than 20 years;60-69 years;0-4 years;0
2006;Less than 20 years;60-69 years;5-9 years;0
2006;Less than 20 years;60-69 years;10-14 years;0
2006;Less than 20 years;60-69 years;15-19 years;0
2006;Less than 20 years;60-69 years;20 years or more;0
2006;Less than 20 years;70-79 years;0-4 years;0
2006;Less than 20 years;70-79 years;5-9 years;0
2006;Less than 20 years;70-79 years;10-14 years;0
2006;Less than 20 years;70-79 years;15-19 years;0
2006;Less than 20 years;70-79 years;20 years or more;0
2006;Less than 20 years;80-89 years;0-4 years;0
2006;Less than 20 years;80-89 years;5-9 years;0
2006;Less than 20 years;80-89 years;10-14 years;0
2006;Less than 20 years;80-89 years;15-19 years;0
2006;Less than 20 years;80-89 years;20 years or more;0
2006;Less than 20 years;90 years or more;0-4 years;0
2006;Less than 20 years;90 years or more;5-9 years;0
2006;Less than 20 years;90 years or more;10-14 years;0
2006;Less than 20 years;90 years or more;15-19 years;0
2006;Less than 20 years;90 years or more;20 years or more;0
2006;20-29 years;Less than 20 years;0-4 years;1
2006;20-29 years;Less than 20 years;5-9 years;0
2006;20-29 years;Less than 20 years;10-14 years;0
2006;20-29 years;Less than 20 years;15-19 years;0
2006;20-29 years;Less than 20 years;20 years or more;0
2006;20-29 years;20-29 years;0-4 years;381
2006;20-29 years;20-29 years;5-9 years;268
2006;20-29 years;20-29 years;10-14 years;3
2006;20-29 years;20-29 years;15-19 years;0
2006;20-29 years;20-29 years;20 years or more;0
2006;20-29 years;30-39 years;0-4 years;115
2006;20-29 years;30-39 years;5-9 years;152
2006;20-29 years;30-39 years;10-14 years;3
2006;20-29 years;30-39 years;15-19 years;0
2006;20-29 years;30-39 years;20 years or more;0
2006;20-29 years;40-49 years;0-4 years;33
2006;20-29 years;40-49 years;5-9 years;43
2006;20-29 years;40-49 years;10-14 years;0
2006;20-29 years;40-49 years;15-19 years;0
2006;20-29 years;40-49 years;20 years or more;0
2006;20-29 years;50-59 years;0-4 years;9
2006;20-29 years;50-59 years;5-9 years;17
2006;20-29 years;50-59 years;10-14 years;0
2006;20-29 years;50-59 years;15-19 years;0
2006;20-29 years;50-59 years;20 years or more;0
2006;20-29 years;60-69 years;0-4 years;1
2006;20-29 years;60-69 years;5-9 years;0
2006;20-29 years;60-69 years;10-14 years;0
2006;20-29 years;60-69 years;15-19 years;0
2006;20-29 years;60-69 years;20 years or more;0
2006;20-29 years;70-79 years;0-4 years;0
2006;20-29 years;70-79 years;5-9 years;0
2006;20-29 years;70-79 years;10-14 years;0
2006;20-29 years;70-79 years;15-19 years;0
2006;20-29 years;70-79 years;20 years or more;0
2006;20-29 years;80-89 years;0-4 years;0
2006;20-29 years;80-89 years;5-9 years;0
2006;20-29 years;80-89 years;10-14 years;0
2006;20-29 years;80-89 years;15-19 years;0
2006;20-29 years;80-89 years;20 years or more;0
2006;20-29 years;90 years or more;0-4 years;0
2006;20-29 years;90 years or more;5-9 years;0
2006;20-29 years;90 years or more;10-14 years;0
2006;20-29 years;90 years or more;15-19 years;0
2006;20-29 years;90 years or more;20 years or more;0
2006;30-39 years;Less than 20 years;0-4 years;0
2006;30-39 years;Less than 20 years;5-9 years;0
2006;30-39 years;Less than 20 years;10-14 years;0
2006;30-39 years;Less than 20 years;15-19 years;0
2006;30-39 years;Less than 20 years;20 years or more;0
2006;30-39 years;20-29 years;0-4 years;307
2006;30-39 years;20-29 years;5-9 years;595
2006;30-39 years;20-29 years;10-14 years;36
2006;30-39 years;20-29 years;15-19 years;0
2006;30-39 years;20-29 years;20 years or more;0
2006;30-39 years;30-39 years;0-4 years;517
2006;30-39 years;30-39 years;5-9 years;1826
2006;30-39 years;30-39 years;10-14 years;1043
2006;30-39 years;30-39 years;15-19 years;217
2006;30-39 years;30-39 years;20 years or more;2
2006;30-39 years;40-49 years;0-4 years;87
2006;30-39 years;40-49 years;5-9 years;442
2006;30-39 years;40-49 years;10-14 years;261
2006;30-39 years;40-49 years;15-19 years;104
2006;30-39 years;40-49 years;20 years or more;4
2006;30-39 years;50-59 years;0-4 years;19
2006;30-39 years;50-59 years;5-9 years;105
2006;30-39 years;50-59 years;10-14 years;29
2006;30-39 years;50-59 years;15-19 years;4
2006;30-39 years;50-59 years;20 years or more;0
2006;30-39 years;60-69 years;0-4 years;3
2006;30-39 years;60-69 years;5-9 years;23
2006;30-39 years;60-69 years;10-14 years;7
2006;30-39 years;60-69 years;15-19 years;0
2006;30-39 years;60-69 years;20 years or more;0
2006;30-39 years;70-79 years;0-4 years;0
2006;30-39 years;70-79 years;5-9 years;1
2006;30-39 years;70-79 years;10-14 years;1
2006;30-39 years;70-79 years;15-19 years;0
2006;30-39 years;70-79 years;20 years or more;0
2006;30-39 years;80-89 years;0-4 years;0
2006;30-39 years;80-89 years;5-9 years;0
2006;30-39 years;80-89 years;10-14 years;0
2006;30-39 years;80-89 years;15-19 years;0
2006;30-39 years;80-89 years;20 years or more;0
2006;30-39 years;90 years or more;0-4 years;0
2006;30-39 years;90 years or more;5-9 years;0
2006;30-39 years;90 years or more;10-14 years;0
2006;30-39 years;90 years or more;15-19 years;0
2006;30-39 years;90 years or more;20 years or more;0
2006;40-49 years;Less than 20 years;0-4 years;0
2006;40-49 years;Less than 20 years;5-9 years;0
2006;40-49 years;Less than 20 years;10-14 years;0
2006;40-49 years;Less than 20 years;15-19 years;0
2006;40-49 years;Less than 20 years;20 years or more;0
2006;40-49 years;20-29 years;0-4 years;85
2006;40-49 years;20-29 years;5-9 years;97
2006;40-49 years;20-29 years;10-14 years;7
2006;40-49 years;20-29 years;15-19 years;0
2006;40-49 years;20-29 years;20 years or more;0
2006;40-49 years;30-39 years;0-4 years;193
2006;40-49 years;30-39 years;5-9 years;819
2006;40-49 years;30-39 years;10-14 years;887
2006;40-49 years;30-39 years;15-19 years;511
2006;40-49 years;30-39 years;20 years or more;47
2006;40-49 years;40-49 years;0-4 years;125
2006;40-49 years;40-49 years;5-9 years;558
2006;40-49 years;40-49 years;10-14 years;1044
2006;40-49 years;40-49 years;15-19 years;1673
2006;40-49 years;40-49 years;20 years or more;1377
2006;40-49 years;50-59 years;0-4 years;22
2006;40-49 years;50-59 years;5-9 years;112
2006;40-49 years;50-59 years;10-14 years;90
2006;40-49 years;50-59 years;15-19 years;114
2006;40-49 years;50-59 years;20 years or more;179
2006;40-49 years;60-69 years;0-4 years;3
2006;40-49 years;60-69 years;5-9 years;19
2006;40-49 years;60-69 years;10-14 years;16
2006;40-49 years;60-69 years;15-19 years;9
2006;40-49 years;60-69 years;20 years or more;0
2006;40-49 years;70-79 years;0-4 years;0
2006;40-49 years;70-79 years;5-9 years;4
2006;40-49 years;70-79 years;10-14 years;1
2006;40-49 years;70-79 years;15-19 years;1
2006;40-49 years;70-79 years;20 years or more;1
2006;40-49 years;80-89 years;0-4 years;0
2006;40-49 years;80-89 years;5-9 years;1
2006;40-49 years;80-89 years;10-14 years;0
2006;40-49 years;80-89 years;15-19 years;0
2006;40-49 years;80-89 years;20 years or more;0
2006;40-49 years;90 years or more;0-4 years;0
2006;40-49 years;90 years or more;5-9 years;0
2006;40-49 years;90 years or more;10-14 years;1
2006;40-49 years;90 years or more;15-19 years;0
2006;40-49 years;90 years or more;20 years or more;0
2006;50-59 years;Less than 20 years;0-4 years;0
2006;50-59 years;Less than 20 years;5-9 years;0
2006;50-59 years;Less than 20 years;10-14 years;0
2006;50-59 years;Less than 20 years;15-19 years;0
2006;50-59 years;Less than 20 years;20 years or more;0
2006;50-59 years;20-29 years;0-4 years;24
2006;50-59 years;20-29 years;5-9 years;23
2006;50-59 years;20-29 years;10-14 years;3
2006;50-59 years;20-29 years;15-19 years;0
2006;50-59 years;20-29 years;20 years or more;0
2006;50-59 years;30-39 years;0-4 years;64
2006;50-59 years;30-39 years;5-9 years;174
2006;50-59 years;30-39 years;10-14 years;111
2006;50-59 years;30-39 years;15-19 years;41
2006;50-59 years;30-39 years;20 years or more;4
2006;50-59 years;40-49 years;0-4 years;57
2006;50-59 years;40-49 years;5-9 years;211
2006;50-59 years;40-49 years;10-14 years;232
2006;50-59 years;40-49 years;15-19 years;464
2006;50-59 years;40-49 years;20 years or more;955
2006;50-59 years;50-59 years;0-4 years;16
2006;50-59 years;50-59 years;5-9 years;95
2006;50-59 years;50-59 years;10-14 years;104
2006;50-59 years;50-59 years;15-19 years;170
2006;50-59 years;50-59 years;20 years or more;1661
2006;50-59 years;60-69 years;0-4 years;1
2006;50-59 years;60-69 years;5-9 years;14
2006;50-59 years;60-69 years;10-14 years;18
2006;50-59 years;60-69 years;15-19 years;22
2006;50-59 years;60-69 years;20 years or more;109
2006;50-59 years;70-79 years;0-4 years;1
2006;50-59 years;70-79 years;5-9 years;1
2006;50-59 years;70-79 years;10-14 years;0
2006;50-59 years;70-79 years;15-19 years;0
2006;50-59 years;70-79 years;20 years or more;5
2006;50-59 years;80-89 years;0-4 years;0
2006;50-59 years;80-89 years;5-9 years;1
2006;50-59 years;80-89 years;10-14 years;0
2006;50-59 years;80-89 years;15-19 years;0
2006;50-59 years;80-89 years;20 years or more;0
2006;50-59 years;90 years or more;0-4 years;0
2006;50-59 years;90 years or more;5-9 years;0
2006;50-59 years;90 years or more;10-14 years;0
2006;50-59 years;90 years or more;15-19 years;0
2006;50-59 years;90 years or more;20 years or more;0
2006;60-69 years;Less than 20 years;0-4 years;0
2006;60-69 years;Less than 20 years;5-9 years;0
2006;60-69 years;Less than 20 years;10-14 years;0
2006;60-69 years;Less than 20 years;15-19 years;0
2006;60-69 years;Less than 20 years;20 years or more;0
2006;60-69 years;20-29 years;0-4 years;8
2006;60-69 years;20-29 years;5-9 years;5
2006;60-69 years;20-29 years;10-14 years;0
2006;60-69 years;20-29 years;15-19 years;0
2006;60-69 years;20-29 years;20 years or more;0
2006;60-69 years;30-39 years;0-4 years;10
2006;60-69 years;30-39 years;5-9 years;43
2006;60-69 years;30-39 years;10-14 years;28
2006;60-69 years;30-39 years;15-19 years;7
2006;60-69 years;30-39 years;20 years or more;0
2006;60-69 years;40-49 years;0-4 years;14
2006;60-69 years;40-49 years;5-9 years;49
2006;60-69 years;40-49 years;10-14 years;51
2006;60-69 years;40-49 years;15-19 years;45
2006;60-69 years;40-49 years;20 years or more;52
2006;60-69 years;50-59 years;0-4 years;14
2006;60-69 years;50-59 years;5-9 years;34
2006;60-69 years;50-59 years;10-14 years;37
2006;60-69 years;50-59 years;15-19 years;52
2006;60-69 years;50-59 years;20 years or more;441
2006;60-69 years;60-69 years;0-4 years;2
2006;60-69 years;60-69 years;5-9 years;14
2006;60-69 years;60-69 years;10-14 years;26
2006;60-69 years;60-69 years;15-19 years;27
2006;60-69 years;60-69 years;20 years or more;487
2006;60-69 years;70-79 years;0-4 years;0
2006;60-69 years;70-79 years;5-9 years;0
2006;60-69 years;70-79 years;10-14 years;2
2006;60-69 years;70-79 years;15-19 years;3
2006;60-69 years;70-79 years;20 years or more;21
2006;60-69 years;80-89 years;0-4 years;0
2006;60-69 years;80-89 years;5-9 years;0
2006;60-69 years;80-89 years;10-14 years;0
2006;60-69 years;80-89 years;15-19 years;0
2006;60-69 years;80-89 years;20 years or more;1
2006;60-69 years;90 years or more;0-4 years;0
2006;60-69 years;90 years or more;5-9 years;0
2006;60-69 years;90 years or more;10-14 years;0
2006;60-69 years;90 years or more;15-19 years;0
2006;60-69 years;90 years or more;20 years or more;0
2006;70-79 years;Less than 20 years;0-4 years;0
2006;70-79 years;Less than 20 years;5-9 years;0
2006;70-79 years;Less than 20 years;10-14 years;0
2006;70-79 years;Less than 20 years;15-19 years;0
2006;70-79 years;Less than 20 years;20 years or more;0
2006;70-79 years;20-29 years;0-4 years;2
2006;70-79 years;20-29 years;5-9 years;1
2006;70-79 years;20-29 years;10-14 years;0
2006;70-79 years;20-29 years;15-19 years;0
2006;70-79 years;20-29 years;20 years or more;0
2006;70-79 years;30-39 years;0-4 years;2
2006;70-79 years;30-39 years;5-9 years;4
2006;70-79 years;30-39 years;10-14 years;1
2006;70-79 years;30-39 years;15-19 years;0
2006;70-79 years;30-39 years;20 years or more;0
2006;70-79 years;40-49 years;0-4 years;2
2006;70-79 years;40-49 years;5-9 years;11
2006;70-79 years;40-49 years;10-14 years;5
2006;70-79 years;40-49 years;15-19 years;7
2006;70-79 years;40-49 years;20 years or more;4
2006;70-79 years;50-59 years;0-4 years;2
2006;70-79 years;50-59 years;5-9 years;4
2006;70-79 years;50-59 years;10-14 years;4
2006;70-79 years;50-59 years;15-19 years;5
2006;70-79 years;50-59 years;20 years or more;21
2006;70-79 years;60-69 years;0-4 years;2
2006;70-79 years;60-69 years;5-9 years;2
2006;70-79 years;60-69 years;10-14 years;14
2006;70-79 years;60-69 years;15-19 years;5
2006;70-79 years;60-69 years;20 years or more;80
2006;70-79 years;70-79 years;0-4 years;1
2006;70-79 years;70-79 years;5-9 years;2
2006;70-79 years;70-79 years;10-14 years;1
2006;70-79 years;70-79 years;15-19 years;0
2006;70-79 years;70-79 years;20 years or more;54
2006;70-79 years;80-89 years;0-4 years;0
2006;70-79 years;80-89 years;5-9 years;0
2006;70-79 years;80-89 years;10-14 years;0
2006;70-79 years;80-89 years;15-19 years;0
2006;70-79 years;80-89 years;20 years or more;1
2006;70-79 years;90 years or more;0-4 years;0
2006;70-79 years;90 years or more;5-9 years;0
2006;70-79 years;90 years or more;10-14 years;0
2006;70-79 years;90 years or more;15-19 years;0
2006;70-79 years;90 years or more;20 years or more;0
2006;80-89 years;Less than 20 years;0-4 years;0
2006;80-89 years;Less than 20 years;5-9 years;0
2006;80-89 years;Less than 20 years;10-14 years;0
2006;80-89 years;Less than 20 years;15-19 years;0
2006;80-89 years;Less than 20 years;20 years or more;0
2006;80-89 years;20-29 years;0-4 years;0
2006;80-89 years;20-29 years;5-9 years;0
2006;80-89 years;20-29 years;10-14 years;0
2006;80-89 years;20-29 years;15-19 years;0
2006;80-89 years;20-29 years;20 years or more;0
2006;80-89 years;30-39 years;0-4 years;0
2006;80-89 years;30-39 years;5-9 years;0
2006;80-89 years;30-39 years;10-14 years;0
2006;80-89 years;30-39 years;15-19 years;0
2006;80-89 years;30-39 years;20 years or more;0
2006;80-89 years;40-49 years;0-4 years;0
2006;80-89 years;40-49 years;5-9 years;3
2006;80-89 years;40-49 years;10-14 years;0
2006;80-89 years;40-49 years;15-19 years;0
2006;80-89 years;40-49 years;20 years or more;1
2006;80-89 years;50-59 years;0-4 years;0
2006;80-89 years;50-59 years;5-9 years;0
2006;80-89 years;50-59 years;10-14 years;0
2006;80-89 years;50-59 years;15-19 years;0
2006;80-89 years;50-59 years;20 years or more;3
2006;80-89 years;60-69 years;0-4 years;1
2006;80-89 years;60-69 years;5-9 years;1
2006;80-89 years;60-69 years;10-14 years;0
2006;80-89 years;60-69 years;15-19 years;1
2006;80-89 years;60-69 years;20 years or more;7
2006;80-89 years;70-79 years;0-4 years;0
2006;80-89 years;70-79 years;5-9 years;1
2006;80-89 years;70-79 years;10-14 years;0
2006;80-89 years;70-79 years;15-19 years;0
2006;80-89 years;70-79 years;20 years or more;7
2006;80-89 years;80-89 years;0-4 years;0
2006;80-89 years;80-89 years;5-9 years;0
2006;80-89 years;80-89 years;10-14 years;0
2006;80-89 years;80-89 years;15-19 years;1
2006;80-89 years;80-89 years;20 years or more;6
2006;80-89 years;90 years or more;0-4 years;0
2006;80-89 years;90 years or more;5-9 years;0
2006;80-89 years;90 years or more;10-14 years;0
2006;80-89 years;90 years or more;15-19 years;0
2006;80-89 years;90 years or more;20 years or more;0
2006;90 years or more;Less than 20 years;0-4 years;0
2006;90 years or more;Less than 20 years;5-9 years;0
2006;90 years or more;Less than 20 years;10-14 years;0
2006;90 years or more;Less than 20 years;15-19 years;0
2006;90 years or more;Less than 20 years;20 years or more;0
2006;90 years or more;20-29 years;0-4 years;0
2006;90 years or more;20-29 years;5-9 years;0
2006;90 years or more;20-29 years;10-14 years;0
2006;90 years or more;20-29 years;15-19 years;0
2006;90 years or more;20-29 years;20 years or more;0
2006;90 years or more;30-39 years;0-4 years;0
2006;90 years or more;30-39 years;5-9 years;0
2006;90 years or more;30-39 years;10-14 years;0
2006;90 years or more;30-39 years;15-19 years;0
2006;90 years or more;30-39 years;20 years or more;0
2006;90 years or more;40-49 years;0-4 years;0
2006;90 years or more;40-49 years;5-9 years;0
2006;90 years or more;40-49 years;10-14 years;0
2006;90 years or more;40-49 years;15-19 years;1
2006;90 years or more;40-49 years;20 years or more;0
2006;90 years or more;50-59 years;0-4 years;0
2006;90 years or more;50-59 years;5-9 years;1
2006;90 years or more;50-59 years;10-14 years;0
2006;90 years or more;50-59 years;15-19 years;0
2006;90 years or more;50-59 years;20 years or more;0
2006;90 years or more;60-69 years;0-4 years;0
2006;90 years or more;60-69 years;5-9 years;0
