hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
517250,1.61569597484653,48,1,2,1,1,5,220,5,3,3,1
322230,2.4396241829112,65,2,3,1,1,6,230,2,3,3,1
304402,0.51811275663732,84,1,4,4,1,6,10,1,1,1,1
417634,0.57218011797605,72,1,2,1,1,6,210,2,1,1,2
517113,2.70743493953724,49,2,1,2,2,5,30,3,3,3,2
324836,1.39789933245701,38,1,2,1,1,4,220,5,1,1,1
407004,1.11179954110543,63,2,2,1,1,5,210,2,1,1,2
306803,0.82316095441804,78,2,2,4,2,6,210,2,1,1,2
503811,1.33347587087821,42,2,2,2,1,4,220,4,2,2,1
405231,0.8864780125614,25,2,1,1,2,4,10,1,0,0,1
218935,2.63293986993658,30,2,2,1,1,4,210,2,1,1,1
305125,1.08971280051502,59,1,4,1,1,5,220,3,2,2,1
102887,0.57933603192637,88,1,3,4,1,6,10,1,1,1,1
318158,1.08294259406483,44,1,4,1,1,5,10,1,1,1,1
426111,1.40412328957516,62,2,2,4,1,5,210,2,1,1,2
302942,1.61976488411522,54,1,2,1,1,5,210,2,1,1,1
316710,2.24330492425242,28,2,2,1,1,4,210,2,1,1,2
506048,0.92687365869109,46,1,2,1,1,5,220,3,2,2,1
214863,1.15732931950613,59,1,1,1,1,5,210,2,1,1,2
510621,0.62553671933498,55,1,3,2,1,5,10,1,1,1,1
507739,3.82505265329518,48,2,2,1,1,5,220,5,2,2,2
403430,0.86768893113639,65,2,2,4,1,6,210,2,1,1,2
201459,0.90552606126636,86,2,3,4,1,6,10,1,1,1,1
219568,1.09124343670682,16,2,1,3,2,2,230,3,1,1,2
214191,1.74282897569008,68,2,1,4,1,6,230,2,2,2,2
417775,0.85941747397038,7,2,1,5,2,1,220,4,1,1,4
229391,3.44776160509772,54,2,2,2,1,5,220,4,2,2,1
223159,2.55999961549027,26,1,2,1,1,4,220,3,1,1,2
302108,1.78385334765513,58,1,2,1,1,5,220,5,1,1,1
516184,0.25078452547083,69,2,3,4,1,6,10,1,1,1,1
513391,0.59888028500619,74,2,4,4,1,6,10,1,1,1,1
425736,0.43630700365046,74,2,3,4,1,6,10,1,1,1,1
211324,1.47971878944774,47,2,2,1,1,5,220,3,2,2,2
314448,1.13037942415372,83,1,2,4,2,6,210,2,1,1,1
202845,0.87094721348367,36,1,2,1,1,4,210,2,1,1,2
413021,1.14993324847607,30,1,2,1,1,4,220,3,1,1,1
403520,0.93541483863875,58,1,2,1,1,5,210,2,1,1,1
300223,0.37178467077366,79,2,3,4,2,6,10,1,0,0,1
325565,1.7412716020456,44,2,2,1,1,5,220,4,1,1,2
311326,1.37712390782525,12,1,1,5,2,1,220,4,2,2,3
227888,1.23099158033184,49,1,2,1,1,5,220,4,1,1,2
107128,0.65862392190586,86,1,2,4,1,6,210,2,0,0,1
323741,1.39460080320403,17,1,1,1,2,2,220,5,1,1,4
421367,0.99895549886194,77,2,2,4,1,6,210,2,1,1,2
515906,0.61497150673847,40,1,2,1,1,4,220,5,2,2,2
225923,0.82740727925174,37,1,2,1,1,4,220,3,1,1,1
