year,duration,divorces_count,census_count,divorce_ratio
2010,0-4,2454,384788,0.00637753776105284
2010,5-9,6117,333494,0.018342159079323767
2010,10-14,4087,264604,0.015445722664812324
2010,15-19,3216,195382,0.016460062851235018
2010,20+,6207,565313,0.010979758116300174
