year;count
2010;1721739
2011;1730187
2012;1740291
2013;1749632
2014;1760914
2015;1769124
2016;1777167
2017;1781577
2018;1785070
2019;1786272
2020;1781877
2021;1778193
2022;1779516
2023;1793567
