household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620963,25,69,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1141910,26,69,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1662857,27,69,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
620966,31,61,64.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
620997,63,57,58.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100063,82,61,63.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100068,86,60,55.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100099,110,60,55.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100154,147,57,63.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100159,150,53,49.0,50+,45-49,0,2.0,15960.0,0.00012531328320802005,1.2485027281949992e-05,False
100203,199,61,62.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100279,279,42,43.0,40-44,40-44,0,306.0,71960.0,0.004252362423568649,0.005080313656074124,False
100410,351,74,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1142336,394,56,57.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
1663293,419,42,45.0,40-44,45-49,0,205.0,54264.0,0.003777826920241781,0.005370577020545689,False
100453,422,53,59.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100454,429,47,55.0,45-49,50-59,0,9.0,63224.0,0.0001423510059471087,0.0002861383323924718,False
621484,492,88,90.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621487,498,64,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100581,526,65,65.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100616,551,58,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
1142510,553,58,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100630,568,75,76.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621589,587,55,55.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
621611,611,60,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100695,632,65,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100735,649,57,63.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100815,686,78,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621769,699,74,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100912,779,48,67.0,45-49,60-69,0,1.0,5712.0,0.00017507002801120448,0.00025581648544144216,False
621983,849,53,59.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101083,881,65,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101100,893,60,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101169,911,64,79.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101198,925,70,68.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
101305,970,55,57.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101318,985,61,65.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
101322,994,59,57.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101349,1065,60,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101351,1072,59,62.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
622303,1094,64,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1143250,1095,64,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1664197,1096,64,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
622330,1140,71,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101389,1152,74,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101459,1210,60,56.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
622408,1215,59,58.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101487,1243,58,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101637,1354,62,65.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
101711,1406,53,54.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101778,1437,61,56.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
101869,1475,62,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
