household_id,hh_start,hh_end,end_cause
100002,2010,2014,new couple
620949,2010,9999,
100004,2010,9999,
100005,2010,9999,
620952,2010,9999,
100008,2010,9999,
100012,2010,2012,death last member
620959,2010,2017,death last member
100014,2010,2014,death last member
100016,2010,2023,new couple
620963,2010,2015,couple split
1141910,2010,9999,
1662857,2010,9999,
100019,2010,9999,
620966,2010,9999,
100026,2010,9999,
620973,2010,9999,
100029,2010,9999,
100037,2010,9999,
100039,2010,2012,new couple
620986,2010,2015,new couple
100042,2010,9999,
100044,2010,9999,
100046,2010,9999,
100047,2010,9999,
100049,2010,9999,
100050,2010,9999,
620997,2010,9999,
100055,2010,9999,
100056,2010,9999,
621003,2010,9999,
100058,2010,9999,
621005,2010,9999,
100061,2010,9999,
100063,2010,9999,
100065,2010,9999,
100068,2010,9999,
100071,2010,2024,death last member
100074,2010,9999,
100078,2010,9999,
621025,2010,2018,divorce
100084,2010,9999,
100087,2010,9999,
100098,2010,9999,
621045,2010,9999,
100099,2010,9999,
100103,2010,2022,new couple
100108,2010,2018,divorce
100109,2010,9999,
100120,2010,9999,
621067,2010,2023,death last member
100122,2010,9999,
100128,2010,9999,
621075,2010,9999,
100137,2010,2023,death last member
100139,2010,9999,
100141,2010,9999,
621088,2010,9999,
1142035,2010,9999,
100154,2010,2014,couple split
100159,2010,9999,
100160,2010,9999,
621107,2010,9999,
1142054,2010,9999,
100161,2010,2013,divorce
100168,2010,9999,
621115,2010,2010,new couple
100172,2010,2024,death last member
100174,2010,9999,
621121,2010,9999,
100175,2010,9999,
100180,2010,2021,death last member
621127,2010,9999,
100185,2010,2012,couple split
100194,2010,2012,new couple
100202,2010,9999,
100203,2010,9999,
621150,2010,2019,divorce
1142097,2010,2023,couple split
100207,2010,2011,new couple
100208,2010,9999,
621155,2010,9999,
1142102,2010,2020,death last member
100209,2010,2015,new couple
100210,2010,2013,new couple
100216,2010,9999,
100217,2010,9999,
100219,2010,2020,death last member
621166,2010,2017,new couple
100221,2010,9999,
100229,2010,2010,new couple
100236,2010,2016,couple split
100240,2010,2024,divorce
621187,2010,9999,
1142134,2010,9999,
100246,2010,2011,new couple
621193,2010,2010,new couple
1142140,2010,2010,new couple
100253,2010,9999,
621200,2010,9999,
1142147,2010,9999,
100258,2010,9999,
100264,2010,2019,death last member
100267,2010,9999,
100269,2010,2017,divorce
100272,2010,2023,divorce
621219,2010,9999,
1142166,2010,2011,divorce
100273,2010,9999,
100279,2010,9999,
621226,2010,9999,
