household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
100016,24,58,69.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
620963,25,58,69.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
1141910,26,58,69.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
1662857,27,58,69.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100019,30,50,53.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100029,43,46,49.0,45-49,45-49,0,14.0,115416.0,0.00012130033964095099,0.0002091441625376308,False
100044,51,43,54.0,40-44,50-59,0,58.0,42436.799999999996,0.001366738302605286,0.002260898988569014,False
100050,62,46,47.0,45-49,45-49,0,14.0,115416.0,0.00012130033964095099,0.0002091441625376308,False
620997,63,46,47.0,45-49,45-49,0,14.0,115416.0,0.00012130033964095099,0.0002091441625376308,False
100068,86,49,44.0,45-49,40-44,0,18.0,24091.2,0.0007471607890017931,0.00019787137601944346,False
100099,110,49,44.0,45-49,40-44,0,18.0,24091.2,0.0007471607890017931,0.00019787137601944346,False
100109,121,51,40.0,50+,40-44,0,0.0,6249.599999999999,0.0,6.561279387147193e-06,False
100154,147,46,52.0,45-49,50-59,0,9.0,113803.2,7.908389219283817e-05,0.00015864351923626976,False
100159,150,42,38.0,40-44,35-39,0,220.0,23385.6,0.009407498631636563,0.004589584437600567,False
100175,175,31,30.0,30-34,30-34,0,1833.0,61084.799999999996,0.03000746503221751,0.03154588252033936,False
100185,185,40,49.0,40-44,45-49,0,205.0,97675.2,0.0020987927334676563,0.0029786123789218113,False
100203,199,50,51.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
621150,200,50,51.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
1142097,201,50,51.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100219,216,89,70.0,50+,70+,0,0.0,70761.59999999999,0.0,3.878511877764302e-07,False
100236,224,45,49.0,45-49,45-49,0,14.0,115416.0,0.00012130033964095099,0.0002091441625376308,False
100240,231,37,46.0,35-39,45-49,0,308.0,24494.399999999998,0.01257430269775949,0.013016981345685226,False
621187,232,37,46.0,35-39,45-49,0,308.0,24494.399999999998,0.01257430269775949,0.013016981345685226,False
