household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620966,31,72,75.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100037,45,73,73.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100050,62,68,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100099,110,71,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100154,147,68,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1142097,201,72,73.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100279,279,53,54.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100282,286,61,63.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100442,392,67,68.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100446,411,52,54.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
621451,459,72,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100540,497,75,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100642,586,66,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100690,627,75,76.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100735,649,68,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621859,780,59,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621983,849,64,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101083,881,76,81.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
622269,995,70,68.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
1143216,996,70,68.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
622408,1215,70,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
101778,1437,72,67.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
101875,1482,69,79.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623024,1622,69,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1144043,1668,71,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623208,1738,67,63.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
102382,1833,75,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623430,1878,74,81.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102566,1950,83,81.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102669,1994,70,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623616,1995,70,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
