household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620966,31,75,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100050,62,71,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100099,110,74,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100154,147,71,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1142097,201,75,76.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100279,279,56,57.0,50+,50-59,0,0.0,117656.0,0.0,9.459577983742915e-06,False
100282,286,64,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100442,392,70,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
621451,459,75,81.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100540,497,78,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100642,586,69,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
100690,627,78,79.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
100735,649,71,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
622269,995,73,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1143216,996,73,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
622408,1215,73,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
101778,1437,75,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1144043,1668,74,75.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623208,1738,70,66.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
102382,1833,78,81.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623430,1878,77,84.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102566,1950,86,84.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102669,1994,73,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102680,2005,76,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102689,2015,67,68.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
102785,2092,59,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102812,2126,76,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
102915,2212,74,73.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
623957,2322,69,67.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
103070,2370,77,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103105,2419,75,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
1145004,2434,71,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103135,2478,77,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
624097,2490,77,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103169,2512,66,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103175,2532,68,71.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103203,2571,65,65.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
624179,2592,78,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103302,2665,76,74.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
624308,2714,72,73.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103400,2769,70,70.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103450,2824,74,79.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
624488,2882,78,69.0,50+,60-69,0,0.0,69048.0,0.0,8.456906156404603e-06,False
103548,2895,81,83.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103593,2932,85,80.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
624568,2955,72,83.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103807,3055,76,77.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
103896,3112,88,84.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
104084,3261,81,76.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
625031,3262,81,76.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
104098,3277,85,86.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
625045,3278,85,86.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
625086,3301,73,75.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
104237,3342,71,78.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
104364,3421,67,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
625311,3422,67,72.0,50+,70+,0,0.0,39312.0,0.0,7.081227519456882e-07,False
