household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
100016,24,69,80.0,50+,70+,0,0.0,117936.0,0.0,2.3671181091166594e-07,False
100037,45,62,62.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100044,51,54,65.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
620997,63,57,58.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100063,82,61,63.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100068,86,60,55.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100099,110,60,55.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100109,121,62,51.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100185,185,51,60.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100203,199,61,62.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100236,224,56,60.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
621187,232,48,57.0,45-49,50-59,0,9.0,189672.0,4.74503353157029e-05,9.539997135227875e-05,False
1142134,233,48,57.0,45-49,50-59,0,9.0,189672.0,4.74503353157029e-05,9.539997135227875e-05,False
100279,279,42,43.0,40-44,40-44,0,306.0,215880.0,0.0014174541411895497,0.001693546893182707,False
621229,287,50,52.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
621243,309,66,62.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100410,351,74,74.0,50+,70+,0,0.0,117936.0,0.0,2.3671181091166594e-07,False
100426,367,60,75.0,50+,70+,0,0.0,117936.0,0.0,2.3671181091166594e-07,False
100442,392,56,57.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
621389,393,56,57.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
1142336,394,56,57.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100452,416,42,45.0,40-44,45-49,0,205.0,162792.0,0.0012592756400805936,0.0017889031296076739,False
621399,417,42,45.0,40-44,45-49,0,205.0,162792.0,0.0012592756400805936,0.0017889031296076739,False
1663293,419,42,45.0,40-44,45-49,0,205.0,162792.0,0.0012592756400805936,0.0017889031296076739,False
100453,422,53,59.0,50+,50-59,0,0.0,352968.0,0.0,3.1552952460732713e-06,False
100504,458,61,67.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
621451,459,61,67.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
621476,482,40,42.0,40-44,40-44,0,306.0,215880.0,0.0014174541411895497,0.001693546893182707,False
621487,498,64,66.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100549,509,63,64.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
100581,526,65,65.0,50+,60-69,0,0.0,207144.0,0.0,2.8123533664383946e-06,False
