person_id,birth,gender,primary_hh,death
203,1989,M,621150.0,9999
204,1989,M,1142097.0,9999
205,1990,M,100203.0,9999
206,1990,M,621150.0,9999
207,1990,M,1142097.0,9999
208,1980,F,5717339.0,9999
209,1939,F,5717340.0,2016
210,1939,F,5717341.0,9999
211,1939,F,5717342.0,9999
212,1975,F,5717343.0,9999
213,1940,F,5717344.0,9999
214,1943,F,5717345.0,9999
215,1940,F,5717346.0,9999
216,1925,F,5717347.0,2021
217,1925,F,5717348.0,2018
218,1944,M,5717349.0,9999
219,1944,M,5717350.0,2020
220,1942,M,5717351.0,2014
221,1948,F,5717352.0,9999
222,1969,M,5717353.0,9999
223,1965,M,5717354.0,9999
224,1969,F,5717355.0,9999
225,1996,M,100236.0,9999
226,1998,M,100236.0,9999
227,2004,F,100236.0,9999
228,1968,M,5717359.0,9999
229,1968,M,5717360.0,9999
230,1968,M,5717361.0,9999
231,1977,F,5717362.0,9999
232,1977,F,5717363.0,9999
233,1977,F,5717364.0,9999
234,1999,M,100240.0,9999
235,1999,M,621187.0,9999
236,1999,M,1142134.0,9999
237,2002,M,100240.0,9999
238,2002,M,621187.0,9999
239,2002,M,1142134.0,9999
240,2004,F,100240.0,9999
241,2004,F,621187.0,9999
242,2004,F,1142134.0,9999
243,1975,F,5717374.0,9999
244,1975,F,5717375.0,9999
245,1975,F,5717376.0,9999
246,1977,M,5717377.0,9999
247,1977,M,5717378.0,9999
248,1977,M,5717379.0,9999
249,1980,F,5717380.0,9999
250,1980,F,5717381.0,9999
251,1980,F,5717382.0,9999
252,2008,M,100253.0,9999
253,2008,M,621200.0,9999
254,2008,M,1142147.0,9999
255,1957,M,5717386.0,9999
256,1987,M,100258.0,9999
257,1930,F,5717388.0,2020
258,1930,M,5717389.0,2014
259,1974,M,5717390.0,9999
260,1976,F,5717391.0,9999
261,2005,M,100267.0,9999
262,2007,M,100267.0,9999
263,1962,F,5717394.0,9999
264,1963,M,5717395.0,9999
265,1995,M,100269.0,9999
266,1954,M,5717397.0,9999
267,1954,M,5717398.0,9999
268,1954,M,5717399.0,2019
269,1956,F,5717400.0,2018
270,1956,F,5717401.0,2024
271,1956,F,5717402.0,9999
272,1991,M,100272.0,9999
273,1991,M,621219.0,9999
274,1991,M,1142166.0,9999
275,1944,F,5717406.0,9999
276,1982,M,5717407.0,9999
277,1982,M,5717408.0,9999
278,1982,M,5717409.0,9999
279,1983,F,5717410.0,9999
280,1983,F,5717411.0,9999
281,1983,F,5717412.0,9999
282,1973,M,5717413.0,9999
283,1973,M,5717414.0,9999
284,1973,M,5717415.0,9999
285,1973,M,5717416.0,9999
286,1975,F,5717417.0,9999
287,1975,F,5717418.0,9999
288,1975,F,5717419.0,9999
289,1975,F,5717420.0,9999
290,2004,F,100282.0,9999
291,2004,F,621229.0,9999
292,2004,F,1142176.0,9999
293,2004,F,1663123.0,9999
294,2006,F,100282.0,9999
295,2006,F,621229.0,9999
296,2006,F,1142176.0,9999
297,2006,F,1663123.0,9999
298,1959,F,5717429.0,9999
299,1959,M,5717430.0,2021
300,1990,F,100289.0,9999
301,1948,M,5717432.0,9999
302,1951,F,5717433.0,9999
303,1992,F,100290.0,9999
304,1935,M,5717435.0,9999
305,1937,F,5717436.0,2023
306,1948,M,5717437.0,9999
307,1996,F,100293.0,9999
308,1959,F,5717439.0,9999
309,1959,F,5717440.0,9999
310,1963,M,5717441.0,9999
311,1963,M,5717442.0,9999
312,1996,M,100296.0,9999
313,1996,M,621243.0,9999
314,2000,M,100296.0,9999
315,2000,M,621243.0,9999
316,1923,F,5717447.0,2016
317,1972,M,5717448.0,9999
318,1978,F,5717449.0,9999
319,2010,M,100301.0,9999
320,1944,F,5717451.0,9999
321,1970,M,5717452.0,9999
322,1970,M,5717453.0,9999
323,1939,F,5717454.0,9999
324,1942,M,5717455.0,9999
325,1944,F,5717456.0,9999
326,1944,F,5717457.0,9999
327,1981,F,5717458.0,9999
328,1981,F,5717459.0,9999
329,1945,M,5717460.0,9999
330,1954,F,5717461.0,2024
331,1990,F,100368.0,9999
332,1992,M,100368.0,9999
333,1979,F,5717464.0,9999
334,1979,F,5717465.0,9999
335,1979,M,5717466.0,9999
336,1979,M,5717467.0,9999
337,1941,F,5717468.0,2017
338,1942,M,5717469.0,9999
339,1964,M,5717470.0,9999
340,1964,M,5717471.0,9999
341,1968,F,5717472.0,9999
342,1968,F,5717473.0,9999
343,1994,M,100378.0,9999
344,1994,M,621325.0,9999
345,1999,F,100378.0,9999
346,1999,F,621325.0,9999
347,1933,M,5717478.0,2023
348,1936,F,5717479.0,9999
349,1953,F,5717480.0,9999
350,1935,M,5717481.0,2021
351,1951,F,5717482.0,9999
352,1951,F,5717483.0,9999
353,1951,M,5717484.0,2022
354,1951,M,5717485.0,2021
355,1975,F,100410.0,9999
356,1975,F,621357.0,9999
357,1925,M,5717488.0,2011
358,1938,F,5717489.0,9999
359,1949,M,5717490.0,9999
360,1949,M,5717491.0,9999
361,1949,F,5717492.0,9999
362,1949,F,5717493.0,9999
363,1960,M,5717494.0,9999
364,1961,F,5717495.0,9999
365,1948,F,5717496.0,9999
366,1950,M,5717497.0,9999
367,1965,F,5717498.0,9999
368,1992,F,100426.0,9999
369,1997,M,100426.0,9999
370,1963,M,5717501.0,9999
371,1963,M,5717502.0,9999
372,1963,M,5717503.0,9999
373,1965,F,5717504.0,9999
374,1965,F,5717505.0,9999
375,1965,F,5717506.0,9999
376,1984,M,100430.0,9999
377,1984,M,621377.0,9999
378,1984,M,1142324.0,9999
379,1990,F,100430.0,9999
380,1990,F,621377.0,9999
381,1990,F,1142324.0,9999
382,1932,F,5717513.0,2022
383,1932,F,5717514.0,2019
384,1932,F,5717515.0,9999
385,1932,F,5717516.0,2021
386,1976,F,5717517.0,9999
387,1976,F,5717518.0,9999
388,1976,F,5717519.0,9999
389,1968,M,5717520.0,9999
390,1968,M,5717521.0,9999
391,1968,M,5717522.0,2024
392,1969,F,5717523.0,9999
393,1969,F,5717524.0,9999
394,1969,F,5717525.0,9999
395,2002,F,100442.0,9999
396,2002,F,621389.0,9999
397,2002,F,1142336.0,9999
398,2005,F,100442.0,9999
399,2005,F,621389.0,9999
400,2005,F,1142336.0,9999
401,1942,M,5717532.0,2024
402,1942,M,5717533.0,9999
403,1942,M,5717534.0,9999
404,1984,F,100444.0,9999
405,1984,F,621391.0,9999
406,1984,F,1142338.0,9999
407,1986,F,100444.0,9999
408,1986,F,621391.0,9999
409,1986,F,1142338.0,9999
410,1982,M,5717541.0,9999
411,1984,F,5717542.0,9999
412,1980,M,5717543.0,9999
413,1980,M,5717544.0,9999
414,1980,M,5717545.0,9999
415,1980,M,5717546.0,9999
416,1983,F,5717547.0,9999
417,1983,F,5717548.0,9999
418,1983,F,5717549.0,9999
419,1983,F,5717550.0,9999
420,1966,M,5717551.0,9999
421,1966,M,5717552.0,9999
422,1972,F,5717553.0,9999
423,1972,F,5717554.0,9999
424,1999,F,100453.0,9999
425,1999,F,621400.0,9999
426,2002,M,100453.0,9999
427,2002,M,621400.0,2020
428,1970,M,5717559.0,9999
429,1978,F,5717560.0,9999
430,1946,M,5717561.0,2025
431,1946,M,5717562.0,9999
432,1948,F,5717563.0,9999
433,1948,F,5717564.0,9999
434,1930,M,5717565.0,2012
435,1941,F,5717566.0,9999
436,1963,M,5717567.0,9999
437,1981,M,5717568.0,9999
438,1981,M,5717569.0,9999
439,1981,M,5717570.0,9999
440,1984,M,5717571.0,9999
441,1984,M,5717572.0,9999
442,1984,M,5717573.0,9999
443,1953,M,5717574.0,9999
444,1955,F,5717575.0,9999
445,1970,M,5717576.0,2011
446,1970,M,5717577.0,9999
447,1970,F,5717578.0,9999
448,1970,F,5717579.0,9999
449,1923,F,5717580.0,2014
450,1923,F,5717581.0,9999
451,1924,M,5717582.0,2022
452,1924,M,5717583.0,2011
453,1973,M,5717584.0,9999
454,1997,F,100499.0,9999
455,1925,F,5717586.0,2014
456,1958,M,5717587.0,9999
457,1958,M,5717588.0,9999
458,1964,F,5717589.0,9999
459,1964,F,5717590.0,9999
460,2003,M,100504.0,9999
461,2003,M,621451.0,9999
462,1945,F,5717593.0,9999
463,1945,F,5717594.0,9999
464,1945,F,5717595.0,9999
465,1975,F,5717596.0,9999
466,1997,M,100514.0,9999
467,1922,F,5717598.0,2016
468,1922,F,5717599.0,2011
469,1922,F,5717600.0,2012
470,1934,M,5717601.0,2018
471,1943,M,5717602.0,9999
472,1943,M,5717603.0,9999
473,1955,F,5717604.0,9999
474,1955,F,5717605.0,9999
475,1991,F,100521.0,9999
476,1991,F,621468.0,9999
477,1983,M,5717608.0,9999
478,1983,M,5717609.0,9999
479,1983,M,5717610.0,9999
480,1983,M,5717611.0,9999
481,1985,F,5717612.0,9999
482,1985,F,5717613.0,9999
483,1985,F,5717614.0,9999
484,1985,F,5717615.0,9999
485,1933,F,5717616.0,2017
486,1937,M,5717617.0,2014
487,1940,M,5717618.0,2010
488,1942,F,5717619.0,9999
489,1935,M,5717620.0,2015
490,1935,M,5717621.0,2014
491,1937,F,5717622.0,2016
492,1937,F,5717623.0,9999
493,1961,F,100537.0,9999
494,1961,F,621484.0,9999
495,1959,M,5717626.0,9999
496,1959,M,5717627.0,9999
497,1961,F,5717628.0,9999
498,1961,F,5717629.0,9999
499,1990,F,100540.0,9999
500,1990,F,621487.0,9999
501,1996,F,100540.0,9999
502,1996,F,621487.0,9999
503,1996,F,100540.0,9999
504,1996,F,621487.0,9999
505,1987,M,5717636.0,9999
506,1936,F,5717637.0,2014
507,1940,M,5717638.0,9999
508,1961,M,5717639.0,9999
509,1962,F,5717640.0,9999
510,1989,F,100549.0,9999
511,1995,M,100549.0,9999
512,1974,M,5717643.0,9999
513,1976,F,5717644.0,9999
514,2002,F,100558.0,9999
515,2008,M,100558.0,9999
516,1954,M,5717647.0,9999
517,1954,M,5717648.0,9999
518,1972,F,5717649.0,9999
519,1972,F,5717650.0,9999
520,2009,M,100564.0,9999
521,2009,M,621511.0,9999
522,1985,M,5717653.0,9999
523,1987,F,5717654.0,9999
524,1966,F,5717655.0,9999
