household_id,hh_start,hh_end,end_cause
100002,2009,2019,new couple
620949,2009,2023,new couple
100004,2009,9999,
100005,2009,9999,
620952,2009,2024,divorce
100008,2009,9999,
100012,2009,2015,death last member
620959,2009,2019,death last member
100014,2009,2017,death last member
100016,2009,2016,divorce
620963,2009,9999,
1141910,2009,9999,
1662857,2009,9999,
100019,2009,9999,
620966,2009,9999,
100026,2009,9999,
620973,2009,9999,
100029,2009,2015,couple_split
100037,2009,9999,
100039,2009,2012,new couple
620986,2009,2013,new couple
100042,2009,9999,
100044,2009,9999,
100046,2009,9999,
100047,2009,9999,
100049,2009,9999,
100050,2009,2022,couple_split
620997,2009,9999,
100055,2009,2012,divorce
100056,2009,9999,
621003,2009,9999,
100058,2009,9999,
621005,2009,9999,
100061,2009,9999,
100063,2009,2018,couple_split
100065,2009,9999,
100068,2009,2015,couple_split
100071,2009,2018,death last member
100074,2009,9999,
100078,2009,2018,divorce
621025,2009,2023,divorce
100084,2009,9999,
100087,2009,9999,
100098,2009,9999,
621045,2009,9999,
100099,2009,9999,
100103,2009,2014,new couple
100108,2009,9999,
100109,2009,2024,divorce
100120,2009,9999,
621067,2009,9999,
100122,2009,9999,
100128,2009,9999,
621075,2009,9999,
100137,2009,2018,death last member
100139,2009,9999,
100141,2009,9999,
621088,2009,9999,
1142035,2009,9999,
100154,2009,9999,
100159,2009,9999,
100160,2009,9999,
621107,2009,9999,
1142054,2009,9999,
100161,2009,9999,
100168,2009,2018,new couple
621115,2009,2017,new couple
100172,2009,2024,death last member
100174,2009,2016,divorce
621121,2009,9999,
100175,2009,2011,couple_split
100180,2009,9999,
621127,2009,9999,
100185,2009,2025,couple_split
100194,2009,2020,new couple
100202,2009,9999,
100203,2009,9999,
621150,2009,9999,
1142097,2009,2012,couple_split
100207,2009,2018,new couple
100208,2009,2024,death last member
621155,2009,9999,
1142102,2009,9999,
100209,2009,9999,
100210,2009,9999,
100216,2009,9999,
100217,2009,2021,death last member
100219,2009,9999,
621166,2009,9999,
100221,2009,9999,
100229,2009,9999,
100236,2009,2018,couple_split
100240,2009,2018,couple_split
621187,2009,9999,
1142134,2009,9999,
100246,2009,2012,new couple
621193,2009,2024,new couple
1142140,2009,2016,new couple
100253,2009,9999,
621200,2009,9999,
1142147,2009,9999,
100258,2009,9999,
100264,2009,2022,death last member
100267,2009,9999,
100269,2009,2019,divorce
100272,2009,2019,divorce
621219,2009,2015,divorce
1142166,2009,9999,
100273,2009,9999,
100279,2009,9999,
621226,2009,9999,
1142173,2009,9999,
100282,2009,9999,
621229,2009,9999,
1142176,2009,2014,divorce
1663123,2009,9999,
100289,2009,9999,
100290,2009,9999,
100291,2009,9999,
100293,2009,9999,
100296,2009,9999,
621243,2009,2025,couple_split
100298,2009,2014,death last member
100301,2009,9999,
100308,2009,9999,
100313,2009,9999,
621260,2009,9999,
100323,2009,2021,death last member
100330,2009,9999,
621277,2009,9999,
100335,2009,2013,new couple
621282,2009,2012,new couple
100368,2009,9999,
100370,2009,2012,divorce
621317,2009,9999,
100373,2009,9999,
100378,2009,9999,
621325,2009,9999,
100381,2009,2024,death last member
100386,2009,2025,new couple
100400,2009,2015,death last member
100410,2009,2024,couple_split
621357,2009,9999,
100412,2009,9999,
100413,2009,9999,
621360,2009,9999,
100422,2009,9999,
100423,2009,9999,
100426,2009,9999,
100430,2009,9999,
621377,2009,9999,
1142324,2009,2015,divorce
100433,2009,9999,
621380,2009,2020,death last member
1142327,2009,2017,death last member
1663274,2009,2013,death last member
100439,2009,2023,new couple
621386,2009,2015,new couple
1142333,2009,2019,new couple
100442,2009,2021,couple_split
621389,2009,9999,
1142336,2009,9999,
100444,2009,2013,last kid leaving
621391,2009,9999,
1142338,2009,2013,new couple
100446,2009,9999,
100452,2009,9999,
621399,2009,9999,
1142346,2009,9999,
1663293,2009,9999,
100453,2009,9999,
621400,2009,2012,couple_split
100454,2009,2012,couple_split
100463,2009,2020,divorce
621410,2009,9999,
100464,2009,9999,
100465,2009,9999,
100467,2009,9999,
621414,2009,9999,
1142361,2009,9999,
100481,2009,9999,
100488,2009,9999,
621435,2009,9999,
100495,2009,2012,death last member
621442,2009,2011,divorce
100499,2009,9999,
100503,2009,2014,death last member
100504,2009,9999,
621451,2009,2022,couple_split
100510,2009,2024,death last member
621457,2009,2025,death last member
1142404,2009,9999,
100514,2009,9999,
100519,2009,2018,death last member
621466,2009,2012,death last member
1142413,2009,2015,death last member
100520,2009,2022,death last member
100521,2009,9999,
621468,2009,9999,
100529,2009,9999,
621476,2009,2016,couple_split
1142423,2009,2017,couple_split
1663370,2009,9999,
100532,2009,9999,
100534,2009,9999,
100537,2009,9999,
621484,2009,9999,
100540,2009,9999,
621487,2009,9999,
100546,2009,9999,
100548,2009,9999,
100549,2009,2012,couple_split
100558,2009,2011,divorce
100564,2009,9999,
621511,2009,9999,
100565,2009,9999,
100569,2009,2016,new couple
100581,2009,9999,
100587,2009,2013,death last member
621534,2009,9999,
100589,2009,9999,
621536,2009,9999,
1142483,2009,9999,
100597,2009,9999,
100609,2009,2021,couple_split
621556,2009,2023,divorce
100616,2009,2019,couple_split
621563,2009,9999,
1142510,2009,9999,
100621,2009,2025,new couple
621568,2009,2014,new couple
100623,2009,2012,new couple
621570,2009,2017,new couple
100630,2009,9999,
100632,2009,9999,
100637,2009,9999,
621584,2009,9999,
100639,2009,2018,new couple
100642,2009,9999,
621589,2009,9999,
1142536,2009,9999,
100646,2009,2015,new couple
621593,2009,9999,
1142540,2009,2022,death last member
100654,2009,2025,new couple
621601,2009,9999,
1142548,2009,9999,
1663495,2009,2015,new couple
100664,2009,2014,couple_split
621611,2009,2022,couple_split
100669,2009,9999,
621616,2009,2017,new couple
100676,2009,9999,
621623,2009,2013,new couple
100681,2009,2019,death last member
621628,2009,2015,new couple
100683,2009,9999,
100690,2009,9999,
100694,2009,2012,new couple
100695,2009,9999,
100699,2009,9999,
621646,2009,2011,divorce
100715,2009,9999,
100718,2009,9999,
100719,2009,2011,death last member
100722,2009,9999,
100723,2009,2021,new couple
621670,2009,9999,
1142617,2009,9999,
100726,2009,9999,
621673,2009,2012,new couple
100732,2009,2023,death last member
100735,2009,9999,
100739,2009,2021,new couple
100758,2009,2025,death last member
621705,2009,9999,
1142652,2009,2025,death last member
100764,2009,9999,
621711,2009,9999,
100771,2009,9999,
100772,2009,9999,
100773,2009,9999,
621720,2009,9999,
100780,2009,2013,death last member
621727,2009,2013,death last member
100792,2009,2021,death last member
100794,2009,9999,
100795,2009,2012,death last member
100796,2009,2012,death last member
100807,2009,2011,divorce
100815,2009,2020,couple_split
100816,2009,9999,
100820,2009,2020,divorce
621767,2009,9999,
100822,2009,9999,
621769,2009,9999,
100824,2009,2019,couple_split
100826,2009,9999,
621773,2009,9999,
100827,2009,9999,
621774,2009,9999,
1142721,2009,9999,
1663668,2009,9999,
100829,2009,9999,
621776,2009,9999,
100830,2009,2015,new couple
100835,2009,2012,new couple
621782,2009,9999,
1142729,2009,9999,
100842,2009,9999,
100843,2009,9999,
100845,2009,2012,new couple
100848,2009,9999,
100851,2009,2013,couple_split
621798,2009,9999,
100859,2009,9999,
100861,2009,9999,
621808,2009,9999,
1142755,2009,2015,new couple
100872,2009,9999,
621819,2009,9999,
100873,2009,2011,new couple
100876,2009,2015,couple_split
621823,2009,9999,
1142770,2009,9999,
100883,2009,2013,divorce
100887,2009,2020,divorce
621834,2009,9999,
100892,2009,2020,divorce
621839,2009,9999,
100900,2009,9999,
100904,2009,2011,new couple
100906,2009,2019,death last member
100912,2009,9999,
621859,2009,9999,
100921,2009,2013,new couple
100922,2009,9999,
621869,2009,9999,
100926,2009,9999,
100948,2009,9999,
100952,2009,2025,death last member
100953,2009,2016,death last member
621900,2009,2012,divorce
100955,2009,2014,death last member
621902,2009,9999,
100956,2009,2023,divorce
621903,2009,9999,
100967,2009,9999,
100975,2009,9999,
100977,2009,2025,death last member
621924,2009,2023,death last member
1142871,2009,2014,death last member
100980,2009,9999,
621927,2009,9999,
1142874,2009,9999,
100986,2009,9999,
100989,2009,9999,
100990,2009,2011,couple_split
101007,2009,9999,
621954,2009,9999,
101022,2009,2022,new couple
101023,2009,2017,divorce
101024,2009,9999,
101028,2009,9999,
621975,2009,2019,divorce
101029,2009,2011,new couple
101036,2009,9999,
621983,2009,9999,
101051,2009,2019,death last member
621998,2009,2011,new couple
1142945,2009,2012,new couple
101064,2009,2025,death last member
622011,2009,9999,
101065,2009,9999,
622012,2009,2016,divorce
101066,2009,9999,
101070,2009,2014,new couple
101071,2009,2025,death last member
622018,2009,9999,
101078,2009,2011,death last member
101083,2009,9999,
101092,2009,2023,death last member
101093,2009,9999,
101095,2009,9999,
622042,2009,9999,
101100,2009,2016,couple_split
622047,2009,9999,
101107,2009,9999,
101112,2009,2022,new couple
101127,2009,9999,
101129,2009,2022,divorce
101132,2009,9999,
101148,2009,9999,
622095,2009,9999,
101169,2009,9999,
101190,2009,9999,
101191,2009,9999,
101192,2009,2015,couple_split
101196,2009,2012,new couple
101198,2009,9999,
101210,2009,2020,death last member
622157,2009,9999,
1143104,2009,2018,death last member
101214,2009,9999,
622161,2009,9999,
101237,2009,2015,new couple
622184,2009,2014,new couple
1143131,2009,2017,new couple
101241,2009,9999,
101250,2009,9999,
101251,2009,9999,
101252,2009,2019,last kid leaving
101268,2009,2023,divorce
622215,2009,9999,
101275,2009,9999,
101300,2009,9999,
101303,2009,9999,
101305,2009,9999,
101309,2009,9999,
622256,2009,9999,
101313,2009,9999,
101318,2009,2024,couple_split
622265,2009,9999,
101320,2009,2014,divorce
101322,2009,9999,
622269,2009,9999,
1143216,2009,9999,
101329,2009,9999,
622276,2009,9999,
101332,2009,9999,
622279,2009,9999,
1143226,2009,9999,
1664173,2009,9999,
101334,2009,2021,new couple
622281,2009,9999,
101336,2009,9999,
622283,2009,2015,death last member
101343,2009,9999,
622290,2009,9999,
1143237,2009,9999,
101346,2009,9999,
622293,2009,9999,
1143240,2009,9999,
1664187,2009,9999,
101349,2009,9999,
101351,2009,9999,
622298,2009,9999,
1143245,2009,9999,
101354,2009,2013,divorce
622301,2009,9999,
101356,2009,2012,couple_split
622303,2009,9999,
1143250,2009,9999,
1664197,2009,9999,
101358,2009,9999,
622305,2009,2013,couple_split
101360,2009,9999,
622307,2009,9999,
101362,2009,9999,
622309,2009,9999,
101363,2009,2011,new couple
101373,2009,2013,divorce
622320,2009,9999,
1143267,2009,9999,
101374,2009,9999,
101380,2009,9999,
622327,2009,9999,
1143274,2009,2014,new couple
1664221,2009,2023,new couple
101383,2009,9999,
622330,2009,2021,couple_split
101386,2009,9999,
622333,2009,9999,
1143280,2009,9999,
101389,2009,9999,
101392,2009,9999,
622339,2009,2025,death last member
101393,2009,2019,death last member
